#Entity         POWER             SMACT        TENSO        DRAMA        PCITX                       PCIRX                       
ID               W                                                                                                               
GPU 5           98.794            0.000        0.000        0.000        199708                      13104                       
GPU 6           99.558            0.000        0.000        0.000        447099                      225384                      
GPU 7           101.620           0.000        0.000        0.000        258412                      61326                       
GPU 0           97.013            0.000        0.000        0.000        265741                      70759                       
GPU 1           98.312            0.000        0.000        0.000        486437                      281483                      
GPU 2           99.027            0.000        0.000        0.000        455490                      238490                      
GPU 3           97.402            0.000        0.000        0.000        496374                      282519                      
GPU 4           98.387            0.000        0.000        0.000        455480                      237436                      
GPU 5           98.719            0.000        0.000        0.000        475941                      271517                      
GPU 6           99.562            0.000        0.000        0.000        486935                      274130                      
GPU 7           101.531           0.000        0.000        0.000        486942                      273610                      
GPU 0           97.059            0.000        0.000        0.000        483790                      267316                      
GPU 1           98.334            0.000        0.000        0.000        485915                      279388                      
GPU 2           99.076            0.000        0.000        0.000        491139                      276757                      
GPU 3           97.478            0.000        0.000        0.000        487988                      274133                      
GPU 4           98.428            0.000        0.000        0.000        498999                      282522                      
GPU 5           98.758            0.000        0.000        0.000        489561                      280423                      
GPU 6           99.587            0.000        0.000        0.000        496362                      283036                      
GPU 7           101.667           0.000        0.000        0.000        491145                      278333                      
#Entity         POWER             SMACT        TENSO        DRAMA        PCITX                       PCIRX                       
ID               W                                                                                                               
GPU 0           97.135            0.000        0.000        0.000        496377                      280424                      
GPU 1           98.301            0.000        0.000        0.000        488532                      282530                      
GPU 2           99.208            0.000        0.000        0.000        490087                      280424                      
GPU 3           97.457            0.000        0.000        0.000        496881                      281985                      
GPU 4           98.353            0.000        0.000        0.000        485891                      272036                      
GPU 5           98.736            0.000        0.000        0.000        478566                      273092                      
GPU 6           99.601            0.000        0.000        0.000        482746                      272560                      
GPU 7           101.575           0.000        0.000        0.000        487782                      275065                      
GPU 0           97.276            0.000        0.000        0.000        427186                      215952                      
GPU 1           98.249            0.000        0.000        0.000        239019                      56085                       
GPU 2           98.977            0.000        0.000        0.000        431384                      221720                      
GPU 3           97.496            0.000        0.000        0.000        247923                      58705                       
GPU 4           98.372            0.000        0.000        0.000        439243                      230629                      
GPU 5           98.784            0.000        0.000        0.000        415037                      215857                      
GPU 6           99.553            0.000        0.000        0.000        243965                      55273                       
GPU 7           101.578           0.000        0.000        0.000        244258                      58181                       
GPU 0           97.255            0.000        0.000        0.000        264170                      61849                       
GPU 1           98.292            0.000        0.000        0.000        442399                      228538                      
GPU 2           99.161            0.000        0.000        0.000        262082                      64472                       
GPU 3           97.507            0.000        0.000        0.000        451812                      226954                      
GPU 4           98.371            0.000        0.000        0.000        261032                      65520                       
GPU 5           98.693            0.000        0.000        0.000        259458                      62374                       
GPU 6           99.582            0.000        0.000        0.000        485709                      262073                      
GPU 7           101.582           0.000        0.000        0.000        452874                      232727                      
GPU 0           97.078            0.000        0.000        0.000        492710                      275708                      
GPU 1           98.338            0.000        0.000        0.000        486439                      280436                      
GPU 2           98.953            0.000        0.000        0.000        496895                      282517                      
