#Entity         POWER             SMACT        TENSO        DRAMA        PCITX                       PCIRX                       
ID               W                                                                                                               
GPU 5           98.543            0.000        0.000        0.000        235877                      59755                       
GPU 6           100.011           0.000        0.000        0.000        241098                      54509                       
GPU 7           101.517           0.000        0.000        0.000        244258                      59754                       
GPU 0           96.795            0.000        0.000        0.000        266264                      67090                       
GPU 1           98.104            0.000        0.000        0.000        319746                      127898                      
GPU 2           98.885            0.000        0.000        0.000        261456                      66543                       
GPU 3           96.929            0.000        0.000        0.000        269062                      73380                       
GPU 4           97.529            0.000        0.000        0.000        260502                      62373                       
GPU 5           98.565            0.000        0.000        0.000        445020                      228538                      
GPU 6           100.023           0.000        0.000        0.000        442863                      226934                      
GPU 7           101.468           0.000        0.000        0.000        451299                      233774                      
GPU 0           97.455            0.001        0.000        0.000        42569652                    413172122                   
GPU 1           98.203            0.000        0.000        0.000        485908                      278859                      
GPU 2           100.059           0.001        0.000        0.000        30666343                    280699750                   
GPU 3           98.667            0.000        0.000        0.000        493751                      277276                      
GPU 4           99.474            0.005        0.000        0.001        148922945                   1297446735                  
GPU 5           99.181            0.001        0.000        0.000        12373035                    50322915                    
GPU 6           101.509           0.000        0.000        0.000        481170                      269413                      
GPU 7           102.904           0.000        0.000        0.000        485874                      272026                      
#Entity         POWER             SMACT        TENSO        DRAMA        PCITX                       PCIRX                       
ID               W                                                                                                               
GPU 0           136.742           0.107        0.018        0.034        4689618184                  7714113870                  
GPU 1           138.303           0.099        0.016        0.033        3430961150                  4998659855                  
GPU 2           139.069           0.108        0.019        0.035        4659053444                  7385542673                  
GPU 3           138.089           0.095        0.014        0.032        3121854447                  4584119368                  
GPU 4           141.350           0.111        0.021        0.035        5194418122                  8045098381                  
GPU 5           140.794           0.107        0.019        0.035        3906114818                  5763663036                  
GPU 6           144.076           0.096        0.015        0.032        4003364200                  7220376674                  
GPU 7           144.699           0.104        0.017        0.034        3568463875                  5228405244                  
GPU 0           145.011           0.111        0.033        0.028        7863771681                  6803471298                  
GPU 1           152.471           0.111        0.032        0.029        6753770139                  8430941767                  
GPU 2           146.887           0.112        0.033        0.028        7883062853                  6818100888                  
GPU 3           145.589           0.110        0.032        0.029        6781246958                  8535778417                  
GPU 4           143.707           0.111        0.033        0.028        7893916810                  7105948986                  
GPU 5           149.842           0.116        0.034        0.030        6754075265                  8445785848                  
GPU 6           147.905           0.114        0.034        0.029        7883565138                  6793623885                  
GPU 7           153.196           0.112        0.033        0.029        6759983438                  8445408330                  
GPU 0           148.494           0.117        0.036        0.030        7949794346                  7058186025                  
GPU 1           152.147           0.113        0.034        0.029        6839977574                  8864106410                  
GPU 2           149.020           0.118        0.036        0.030        7946790445                  7065449532                  
GPU 3           144.823           0.114        0.035        0.030        6828608349                  8954014292                  
GPU 4           148.180           0.120        0.037        0.030        7929623603                  7288950423                  
GPU 5           151.435           0.114        0.035        0.030        6864553152                  8794986495                  
GPU 6           152.403           0.114        0.035        0.029        7960800835                  7211341307                  
