#Entity         POWER             SMACT        TENSO        DRAMA        PCITX                       PCIRX                       
ID               W                                                                                                               
GPU 0           102.777           0.000        0.000        0.000        574611                      2865577                     
GPU 1           104.382           0.000        0.000        0.000        4046992                     2121091                     
GPU 2           103.758           0.000        0.000        0.000        467023                      251595                      
GPU 3           102.263           0.000        0.000        0.000        2408111                     3325141                     
GPU 4           101.915           0.000        0.000        0.000        868334                      583985                      
GPU 5           105.832           0.000        0.000        0.000        2387500                     1693028                     
GPU 6           106.604           0.000        0.000        0.000        3973066                     880961                      
GPU 7           107.093           0.000        0.000        0.000        4876240                     17154                       
GPU 0           102.013           0.000        0.000        0.000        503182                      283564                      
GPU 1           104.220           0.000        0.000        0.000        507375                      290902                      
GPU 2           103.686           0.000        0.000        0.000        4044793                     3364982                     
GPU 3           102.243           0.000        0.000        0.000        1015130                     734227                      
GPU 4           101.763           0.000        0.000        0.000        4720608                     3891799                     
GPU 5           105.693           0.000        0.000        0.000        4092628                     3341509                     
GPU 6           106.562           0.000        0.000        0.000        3462282                     2826899                     
GPU 7           107.052           0.000        0.000        0.000        2504597                     1240170                     
GPU 0           142.009           0.083        0.000        0.039        216952617                   2785643615                  
GPU 1           148.816           0.100        0.006        0.047        83051021                    1066188592                  
GPU 2           141.039           0.009        0.001        0.004        21139112                    403616528                   
GPU 3           133.349           0.071        0.004        0.033        700352531                   1552800250                  
GPU 4           136.251           0.009        0.001        0.004        44335673                    745266212                   
GPU 5           150.481           0.009        0.001        0.004        25721396                    545399913                   
GPU 6           147.867           0.014        0.001        0.006        39014080                    755637942                   
GPU 7           140.988           0.092        0.006        0.043        1626479                     2332206984                  
#Entity         POWER             SMACT        TENSO        DRAMA        PCITX                       PCIRX                       
ID               W                                                                                                               
GPU 0           142.009           0.083        0.005        0.039        216952617                   2785643615                  
GPU 1           148.816           0.100        0.006        0.047        83051021                    1066188592                  
GPU 2           141.039           0.218        0.001        0.101        332915889                   403616528                   
GPU 3           133.349           0.071        0.015        0.033        700352531                   1552800250                  
GPU 4           136.251           0.009        0.001        0.110        44335673                    6929606943                  
GPU 5           150.481           0.009        0.001        0.004        25721396                    2772972924                  
GPU 6           147.867           0.014        0.001        0.116        39014080                    755637942                   
GPU 7           140.988           0.092        0.006        0.043        891886482                   2332206984                  
GPU 0           195.479           0.252        0.015        0.117        498699624                   6009651397                  
GPU 1           212.605           0.250        0.015        0.114        177987888                   3804181811                  
GPU 2           203.564           0.254        0.015        0.118        380687710                   4183791949                  
GPU 3           188.016           0.253        0.015        0.117        2041412935                  4051083793                  
GPU 4           198.147           0.240        0.014        0.114        529249649                   6413529435                  
GPU 5           211.695           0.253        0.015        0.117        337978384                   4223120346                  
GPU 6           211.136           0.251        0.015        0.114        306453733                   3936443207                  
GPU 7           196.068           0.253        0.015        0.116        2093683744                  4620071299                  
GPU 0           199.355           0.245        0.015        0.114        479052616                   5826081653                  
GPU 1           212.877           0.243        0.015        0.113        304661027                   4414053614                  
GPU 2           201.618           0.246        0.015        0.115        313712405                   4769810155                  
GPU 3           186.506           0.245        0.015        0.114        2111193427                  4045778086                  
GPU 4           197.951           0.245        0.015        0.116        405842668                   4871896981                  
GPU 5           210.562           0.247        0.015        0.115        349520609                   4299632001                  
GPU 6           211.120           0.246        0.015        0.116        315899611                   4540882281                  
GPU 7           196.321           0.246        0.015        0.115        2074172326                  3732286979                  
GPU 0           194.229           0.241        0.015        0.113        468294909                   5661918601                  
GPU 1           212.786           0.253        0.015        0.118        354134840                   4429991780                  
GPU 2           201.199           0.242        0.015        0.113        323917088                   3912799611                  
GPU 3           186.220           0.253        0.015        0.117        2063197086                  4324703917                  
GPU 4           195.697           0.251        0.015        0.111        407560285                   4855510597                  
GPU 5           210.870           0.243        0.015        0.114        335579033                   4094571255                  
GPU 6           210.859           0.251        0.015        0.111        368064935                   3788008632                  
GPU 7           196.256           0.243        0.015        0.114        2041891812                  3779058954                  
GPU 0           210.629           0.251        0.015        0.117        490303596                   5934612829                  
GPU 1           214.685           0.239        0.014        0.111        352743557                   4263179350                  
GPU 2           202.546           0.252        0.015        0.117        377497580                   4704151174                  
GPU 3           201.936           0.239        0.034        0.111        2052288437                  3870488996                  
GPU 4           197.533           0.252        0.015        0.116        400268414                   4795403750                  
GPU 5           213.132           0.253        0.015        0.118        353530412                   4375886307                  
GPU 6           213.343           0.238        0.015        0.117        310568729                   3986139853                  
GPU 7           196.858           0.252        0.015        0.117        2119046161                  5023357253                  
GPU 0           210.629           0.278        0.041        0.116        864261238                   5775372995                  
GPU 1           227.250           0.273        0.036        0.115        340619084                   4263179350                  
GPU 2           218.728           0.278        0.015        0.117        332868779                   4269070205                  
GPU 3           201.936           0.272        0.016        0.115        2130316637                  4328071678                  
GPU 4           211.009           0.270        0.035        0.114        400268414                   4654620534                  
GPU 5           224.676           0.272        0.036        0.116        328070758                   4101540128                  
GPU 6           228.021           0.252        0.015        0.116        326718237                   3986139853                  
GPU 7           212.058           0.272        0.036        0.115        2200274759                  4989023633                  
GPU 0           225.282           0.246        0.015        0.114        491184609                   5906484297                  
GPU 1           208.810           0.245        0.014        0.113        346505903                   3243168700                  
GPU 2           202.703           0.250        0.015        0.117        368730619                   4560111833                  
GPU 3           214.480           0.247        0.038        0.114        2064437643                  4218196083                  
GPU 4           195.821           0.247        0.014        0.114        408711388                   4866301041                  
GPU 5           206.174           0.247        0.014        0.115        353309281                   4358876961                  
GPU 6           209.260           0.272        0.036        0.114        300953733                   4128252694                  
GPU 7           194.245           0.246        0.014        0.114        2119751896                  4851018912                  
GPU 0           201.390           0.277        0.056        0.110        2719092153                  6379172405                  
GPU 1           214.056           0.280        0.064        0.108        249935128                   4465806496                  
GPU 2           233.244           0.280        0.056        0.112        275764079                   3546653295                  
GPU 3           191.056           0.264        0.030        0.108        3051158839                  4851030567                  
GPU 4           226.678           0.277        0.050        0.113        2290915004                  5554261749                  
GPU 5           241.983           0.273        0.045        0.113        284189536                   3541310567                  
GPU 6           230.999           0.247        0.044        0.114        291036153                   3657905173                  
GPU 7           225.366           0.272        0.045        0.113        3304559150                  5867688740                  
GPU 0           208.668           0.252        0.016        0.117        483147293                   5769223066                  
GPU 1           224.907           0.250        0.015        0.115        362725099                   5410434506                  
GPU 2           204.650           0.252        0.015        0.117        362363388                   4457214691                  
GPU 3           197.190           0.258        0.028        0.115        2691644289                  5129022110                  
GPU 4           199.715           0.252        0.016        0.117        413203122                   4921036611                  
GPU 5           213.340           0.260        0.025        0.116        385621069                   5424366835                  
GPU 6           220.634           0.271        0.029        0.115        387092036                   5673714533                  
GPU 7           196.545           0.261        0.029        0.115        2146633769                  6310707496                  
GPU 0           199.054           0.258        0.027        0.115        643403796                   6128615952                  
GPU 1           215.529           0.260        0.029        0.115        376065462                   2526440525                  
GPU 2           212.980           0.259        0.025        0.116        287103179                   3951132239                  
GPU 3           190.862           0.251        0.015        0.114        2069303478                  2736771964                  
GPU 4           203.970           0.258        0.026        0.115        622117984                   6023240162                  
GPU 5           219.339           0.253        0.020        0.115        271717378                   3481246605                  
GPU 6           216.735           0.260        0.015        0.117        224784804                   2555904025                  
GPU 7           205.136           0.250        0.015        0.116        1945594782                  2227703408                  
GPU 0           199.054           0.249        0.027        0.116        643403796                   4180525164                  
GPU 1           215.529           0.260        0.015        0.116        376065462                   2526440525                  
GPU 2           204.202           0.259        0.025        0.116        287103179                   2351185744                  
GPU 3           190.862           0.251        0.015        0.117        1984216056                  2736771964                  
GPU 4           195.870           0.249        0.014        0.115        622117984                   6023240162                  
GPU 5           210.779           0.249        0.018        0.113        231262192                   3481246605                  
GPU 6           216.549           0.251        0.032        0.117        224784804                   2555904025                  
GPU 7           196.941           0.250        0.029        0.115        1945594782                  2323024115                  
GPU 0           209.889           0.265        0.033        0.113        362991049                   4006806742                  
GPU 1           213.172           0.250        0.029        0.114        220660100                   2311780961                  
GPU 2           215.675           0.251        0.015        0.117        208468651                   2031962733                  
GPU 3           203.039           0.249        0.029        0.114        2019470976                  2497395585                  
GPU 4           210.290           0.268        0.035        0.114        399219588                   4600545668                  
GPU 5           224.626           0.272        0.032        0.118        230496503                   2676369960                  
GPU 6           225.300           0.265        0.014        0.114        229261190                   2329545316                  
GPU 7           209.748           0.249        0.014        0.115        1988347390                  2211129872                  
GPU 0           204.598           0.250        0.027        0.113        601363729                   4175698410                  
GPU 1           222.081           0.256        0.014        0.114        302883228                   4339758027                  
GPU 2           201.842           0.249        0.014        0.115        202878946                   2283809201                  
GPU 3           198.347           0.259        0.028        0.114        1970308012                  4315186044                  
GPU 4           196.353           0.249        0.014        0.114        385710455                   4389932446                  
GPU 5           212.974           0.255        0.015        0.119        231828497                   2613187841                  
GPU 6           212.844           0.250        0.014        0.115        221328461                   2537179352                  
GPU 7           203.848           0.257        0.027        0.113        2012000076                  4392293555                  
GPU 0           204.598           0.256        0.027        0.113        601363729                   5678561901                  
GPU 1           222.081           0.256        0.027        0.113        345362974                   4339758027                  
GPU 2           207.987           0.249        0.014        0.115        202878946                   4171522570                  
GPU 3           198.347           0.259        0.028        0.115        2016498298                  4189127487                  
GPU 4           203.541           0.256        0.029        0.114        385710455                   4389932446                  
GPU 5           220.702           0.258        0.031        0.113        417520493                   2613187841                  
GPU 6           220.347           0.250        0.027        0.115        221328461                   2537179352                  
GPU 7           203.848           0.257        0.014        0.114        2012000076                  4873980850                  
#Entity         POWER             SMACT        TENSO        DRAMA        PCITX                       PCIRX                       
ID               W                                                                                                               
GPU 0           198.292           0.246        0.060        0.115        3084769974                  5598876854                  
GPU 1           249.457           0.273        0.014        0.114        231816556                   4310304852                  
GPU 2           202.502           0.283        0.014        0.111        219137774                   4573011097                  
GPU 3           188.866           0.243        0.014        0.112        2061347414                  4238861158                  
GPU 4           198.513           0.248        0.015        0.111        512209202                   6914661861                  
GPU 5           209.874           0.248        0.014        0.115        353696465                   4365703834                  
GPU 6           212.377           0.255        0.014        0.114        350034387                   5838324741                  
GPU 7           196.198           0.246        0.014        0.113        2126226079                  4837084768                  
GPU 0           201.908           0.255        0.016        0.119        358129466                   4075545386                  
GPU 1           216.549           0.265        0.029        0.117        195140870                   2174908414                  
GPU 2           206.489           0.255        0.016        0.119        228672573                   2597035827                  
GPU 3           191.059           0.286        0.053        0.116        3612930930                  4029005276                  
GPU 4           201.254           0.255        0.060        0.118        541804488                   6506635358                  
GPU 5           216.056           0.285        0.061        0.112        216559589                   2650960553                  
