index, serial, uuid, pci.bus_id
0, 1794525005247, GPU-48c39a71-a81c-84ad-d2b2-7edaeaaec4d0, 00000000:1D:00.0
1, 1325124064764, GPU-9a6e7f52-c9d5-a1df-788d-5a1447c0a08c, 00000000:1E:00.0
2, 1320125038663, GPU-ae42eb9c-d39e-8651-9300-411fa5d48e60, 00000000:40:00.0
3, 1320125037818, GPU-da529bc7-9195-1812-3337-5bc798c38376, 00000000:41:00.0
4, 1794625010401, GPU-1ba28f1a-1b9c-a847-d091-d1e126a58f76, 00000000:AA:00.0
5, 1794525005086, GPU-7148151c-8bf3-d252-209f-68c16de5dc6e, 00000000:AB:00.0
6, 1794525004394, GPU-253c7c1f-ef02-5c3e-9f52-28ae40bffe26, 00000000:BB:00.0
7, 1320125038617, GPU-446efb15-890c-94b9-837b-ed21a0a5133a, 00000000:BC:00.0
