#Entity         TMPTR        MMTMP             POWER             SMCLK        DVCCTR                      
ID               C           C                  W                                                         
GPU 2           69           60                448.735           900          4                           
GPU 3           70           60                448.492           930          4                           
GPU 4           70           62                448.342           930          4                           
GPU 5           70           61                449.112           825          4                           
GPU 6           68           61                449.415           900          4                           
GPU 7           69           59                448.152           930          4                           
GPU 0           69           62                449.360           885          4                           
GPU 1           68           60                445.989           915          4                           
GPU 2           69           60                448.547           900          4                           
GPU 3           70           61                448.127           915          4                           
GPU 4           70           62                447.543           915          4                           
GPU 5           70           61                448.812           840          4                           
GPU 6           69           61                449.637           885          4                           
GPU 7           69           60                448.271           900          4                           
GPU 0           69           62                448.743           840          4                           
GPU 1           68           61                446.567           915          4                           
GPU 2           69           60                448.015           960          4                           
GPU 3           70           61                448.392           915          4                           
GPU 4           70           62                448.418           915          4                           
GPU 5           70           61                448.638           840          4                           
GPU 6           69           61                448.959           885          4                           
GPU 7           70           60                448.037           900          4                           
GPU 0           69           62                448.745           870          4                           
GPU 1           68           61                446.034           900          4                           
GPU 2           69           60                448.149           915          4                           
GPU 3           70           61                449.095           930          4                           
GPU 4           70           62                448.207           915          4                           
GPU 5           70           62                448.686           840          4                           
GPU 6           69           61                448.795           900          4                           
GPU 7           70           60                448.329           870          4                           
GPU 0           69           62                449.018           885          4                           
GPU 1           68           61                446.936           900          4                           
GPU 2           69           60                448.223           915          4                           
GPU 3           71           61                448.733           915          4                           
GPU 4           71           62                448.692           870          4                           
GPU 5           70           62                448.887           825          4                           
GPU 6           69           61                448.903           885          4                           
GPU 7           70           60                448.620           900          4                           
GPU 0           69           62                448.477           900          4                           
GPU 1           69           61                445.479           900          4                           
GPU 2           69           60                448.065           915          4                           
GPU 3           71           61                448.780           915          4                           
GPU 4           70           63                448.272           915          4                           
GPU 5           70           62                448.488           840          4                           
GPU 6           69           62                448.895           900          4                           
GPU 7           70           60                448.456           885          4                           
GPU 0           69           62                448.426           885          4                           
GPU 1           69           61                446.216           915          4                           
GPU 2           70           61                448.213           960          4                           
GPU 3           71           61                448.377           915          4                           
GPU 4           71           62                447.951           930          4                           
GPU 5           71           62                448.767           840          4                           
GPU 6           69           62                448.300           900          4                           
GPU 7           70           60                449.075           900          4                           
GPU 0           70           62                449.543           885          4                           
GPU 1           69           61                445.676           900          4                           
GPU 2           70           61                448.451           960          4                           
GPU 3           71           61                448.650           945          4                           
GPU 4           71           63                448.179           900          4                           
GPU 5           71           62                448.970           840          4                           
GPU 6           69           62                448.615           885          4                           
GPU 7           70           60                448.491           900          4                           
GPU 0           70           62                448.789           915          4                           
GPU 1           69           62                446.480           915          4                           
GPU 2           70           61                447.988           945          4                           
GPU 3           71           62                448.812           930          4                           
GPU 4           71           63                448.245           930          4                           
GPU 5           71           62                448.992           840          4                           
GPU 6           69           62                448.394           900          4                           
GPU 7           70           60                448.608           885          4                           
GPU 0           70           62                448.550           900          4                           
GPU 1           69           61                445.447           900          4                           
GPU 2           70           61                447.819           930          4                           
GPU 3           71           61                448.252           915          4                           
GPU 4           71           62                448.143           900          4                           
GPU 5           71           62                448.540           840          4                           
GPU 6           70           62                448.972           900          4                           
GPU 7           70           60                448.638           900          4                           
#Entity         TMPTR        MMTMP             POWER             SMCLK        DVCCTR                      
ID               C           C                  W                                                         
GPU 0           70           62                449.487           855          4                           
GPU 1           69           62                446.150           900          4                           
GPU 2           70           61                447.632           960          4                           
GPU 3           71           62                448.632           915          4                           
GPU 4           71           62                447.955           900          4                           
GPU 5           71           62                448.393           840          4                           
GPU 6           70           62                449.057           885          4                           
GPU 7           70           60                448.712           885          4                           
GPU 0           70           62                448.400           900          4                           
GPU 1           69           62                446.043           915          4                           
GPU 2           70           61                448.361           900          4                           
GPU 3           71           61                448.528           915          4                           
GPU 4           71           62                447.768           930          4                           
GPU 5           71           62                448.782           840          4                           
GPU 6           70           62                449.064           900          4                           
GPU 7           70           60                448.341           900          4                           
GPU 0           70           62                449.510           900          4                           
GPU 1           69           62                447.468           900          4                           
GPU 2           70           61                448.071           930          4                           
GPU 3           71           61                449.535           915          4                           
GPU 4           71           63                447.574           930          4                           
GPU 5           71           62                449.005           825          4                           
GPU 6           70           62                448.666           885          4                           
GPU 7           70           60                448.619           885          4                           
GPU 0           70           62                449.020           900          4                           
GPU 1           69           62                446.819           900          4                           
GPU 2           70           61                448.413           915          4                           
GPU 3           71           62                448.331           945          4                           
GPU 4           71           62                449.004           855          4                           
GPU 5           71           62                448.689           840          4                           
GPU 6           70           62                448.684           900          4                           
GPU 7           70           60                448.235           900          4                           
GPU 0           70           62                449.001           900          4                           
GPU 1           69           62                446.389           915          4                           
GPU 2           70           61                447.784           915          4                           
GPU 3           71           62                449.477           900          4                           
GPU 4           71           62                448.044           930          4                           
GPU 5           71           62                448.471           825          4                           
GPU 6           70           62                448.746           885          4                           
GPU 7           70           61                448.622           900          4                           
GPU 0           70           62                449.064           900          4                           
GPU 1           69           62                445.908           900          4                           
GPU 2           70           61                448.316           945          4                           
GPU 3           71           62                448.553           930          4                           
GPU 4           71           62                447.924           900          4                           
GPU 5           71           62                448.776           840          4                           
GPU 6           70           62                448.590           900          4                           
GPU 7           70           61                449.031           885          4                           
GPU 0           70           62                449.285           885          4                           
GPU 1           69           62                446.483           900          4                           
GPU 2           70           61                447.890           930          4                           
GPU 3           71           62                448.928           930          4                           
GPU 4           71           63                448.844           915          4                           
GPU 5           71           62                448.825           855          4                           
GPU 6           70           62                448.198           885          4                           
GPU 7           70           61                448.431           885          4                           
GPU 0           70           62                449.408           855          4                           
GPU 1           69           62                447.502           900          4                           
GPU 2           70           61                447.934           900          4                           
GPU 3           71           62                448.697           915          4                           
GPU 4           71           63                447.999           915          4                           
GPU 5           71           62                448.715           855          4                           
GPU 6           70           62                448.368           885          4                           
GPU 7           70           61                448.793           915          4                           
GPU 0           70           62                448.677           900          4                           
GPU 1           69           62                445.375           900          4                           
GPU 2           70           61                447.969           930          4                           
GPU 3           71           62                448.433           900          4                           
GPU 4           71           63                448.199           915          4                           
GPU 5           71           62                448.878           840          4                           
GPU 6           70           62                449.038           885          4                           
GPU 7           70           61                448.541           885          4                           
GPU 0           70           62                448.601           900          4                           
GPU 1           69           62                446.786           885          4                           
GPU 2           70           61                447.610           930          4                           
GPU 3           71           62                448.988           930          4                           
GPU 4           71           63                447.954           930          4                           
GPU 5           71           62                448.339           840          4                           
GPU 6           70           62                448.770           885          4                           
GPU 7           70           61                448.919           915          4                           
GPU 0           70           62                448.652           900          4                           
GPU 1           69           62                446.631           885          4                           
GPU 2           70           61                447.173           945          4                           
GPU 3           71           62                448.950           930          4                           
GPU 4           71           63                448.080           900          4                           
GPU 5           71           62                448.932           855          4                           
GPU 6           70           62                449.107           885          4                           
GPU 7           70           61                448.426           885          4                           
GPU 0           70           62                448.883           900          4                           
GPU 1           69           62                447.123           885          4                           
GPU 2           70           61                447.147           960          4                           
GPU 3           71           62                448.643           900          4                           
GPU 4           71           63                448.243           870          4                           
GPU 5           71           62                448.876           840          4                           
GPU 6           70           62                448.601           900          4                           
GPU 7           70           61                448.162           900          4                           
GPU 0           70           63                448.957           885          4                           
GPU 1           69           62                447.135           885          4                           
GPU 2           70           61                447.573           930          4                           
GPU 3           72           62                449.337           915          4                           
GPU 4           71           63                447.517           930          4                           
GPU 5           71           62                448.497           840          4                           
GPU 6           70           62                448.217           870          4                           
GPU 7           71           61                448.718           900          4                           
GPU 0           70           63                449.025           885          4                           
GPU 1           69           62                446.943           900          4                           
GPU 2           70           61                447.470           945          4                           
GPU 3           72           62                447.948           930          4                           
GPU 4           71           63                447.883           915          4                           
GPU 5           71           62                449.298           855          4                           
GPU 6           70           62                448.687           885          4                           
GPU 7           71           61                448.702           900          4                           
#Entity         TMPTR        MMTMP             POWER             SMCLK        DVCCTR                      
ID               C           C                  W                                                         
GPU 0           70           62                449.144           885          4                           
GPU 1           69           62                447.186           885          4                           
GPU 2           70           62                447.986           915          4                           
GPU 3           72           62                448.706           930          4                           
GPU 4           71           63                447.917           915          4                           
GPU 5           71           62                448.660           855          4                           
GPU 6           70           62                448.737           885          4                           
GPU 7           71           61                448.853           900          4                           
GPU 0           70           64                449.360           885          4                           
GPU 1           70           62                447.017           885          4                           
GPU 2           70           62                447.732           930          4                           
GPU 3           72           62                448.291           960          4                           
GPU 4           71           63                447.812           900          4                           
GPU 5           71           62                448.589           855          4                           
GPU 6           70           62                449.104           885          4                           
GPU 7           71           61                448.848           900          4                           
GPU 0           70           63                449.157           885          4                           
GPU 1           70           62                447.190           885          4                           
GPU 2           70           62                448.381           930          4                           
GPU 3           72           62                449.010           915          4                           
GPU 4           72           63                448.740           915          4                           
GPU 5           71           62                448.682           840          4                           
GPU 6           70           62                448.643           885          4                           
GPU 7           71           61                448.551           900          4                           
GPU 0           71           63                449.362           885          4                           
GPU 1           70           62                447.105           885          4                           
GPU 2           70           62                448.002           930          4                           
GPU 3           72           62                449.670           915          4                           
GPU 4           72           63                448.534           900          4                           
GPU 5           71           62                448.655           855          4                           
GPU 6           70           62                449.129           885          4                           
GPU 7           71           61                448.069           900          4                           
GPU 0           71           63                449.161           885          4                           
GPU 1           70           62                447.116           885          4                           
GPU 2           71           62                448.514           915          4                           
GPU 3           72           62                448.647           930          4                           
GPU 4           72           63                448.386           915          4                           
GPU 5           71           62                448.582           855          4                           
GPU 6           70           62                448.458           885          4                           
GPU 7           71           61                448.288           900          4                           
GPU 0           70           63                449.269           885          4                           
GPU 1           70           62                447.056           900          4                           
GPU 2           71           62                447.940           915          4                           
GPU 3           72           62                449.190           915          4                           
GPU 4           72           63                447.693           915          4                           
GPU 5           71           62                448.666           855          4                           
GPU 6           70           62                449.022           885          4                           
GPU 7           71           61                448.047           885          4                           
GPU 0           70           63                449.133           885          4                           
GPU 1           70           62                447.409           900          4                           
GPU 2           70           62                447.967           930          4                           
GPU 3           72           62                448.965           900          4                           
GPU 4           72           64                447.285           915          4                           
GPU 5           71           62                448.598           840          4                           
GPU 6           70           62                447.958           870          4                           
GPU 7           71           61                447.266           885          4                           
GPU 0           70           63                449.238           885          4                           
GPU 1           70           62                447.281           900          4                           
GPU 2           70           62                447.937           915          4                           
GPU 3           72           62                448.438           930          4                           
GPU 4           72           63                448.564           885          4                           
GPU 5           71           62                448.698           840          4                           
GPU 6           70           62                448.861           885          4                           
GPU 7           71           61                448.117           900          4                           
GPU 0           70           62                449.241           885          4                           
GPU 1           70           62                447.225           885          4                           
GPU 2           70           62                447.905           915          4                           
GPU 3           72           62                448.893           900          4                           
GPU 4           72           63                447.927           915          4                           
GPU 5           71           62                449.119           840          4                           
GPU 6           70           62                448.836           885          4                           
