#Entity         TMPTR        MMTMP             POWER             SMCLK        DVCCTR                      
ID               C           C                  W                                                         
GPU 3           72           62                448.806           945          4                           
GPU 4           72           63                447.652           930          4                           
GPU 5           72           63                448.603           840          4                           
GPU 6           71           62                448.492           885          4                           
GPU 7           71           62                447.941           900          4                           
GPU 0           71           63                448.892           885          4                           
GPU 1           70           62                447.180           885          4                           
GPU 2           71           62                447.511           915          4                           
GPU 3           72           62                448.503           915          4                           
GPU 4           72           64                447.285           915          4                           
GPU 5           72           63                449.020           855          4                           
GPU 6           71           62                448.613           885          4                           
GPU 7           71           62                447.907           870          4                           
GPU 0           71           63                449.106           885          4                           
GPU 1           70           62                447.084           900          4                           
GPU 2           70           62                447.759           930          4                           
GPU 3           72           62                449.267           960          4                           
GPU 4           72           63                448.001           930          4                           
GPU 5           72           63                448.909           840          4                           
GPU 6           71           62                448.507           885          4                           
GPU 7           71           62                447.731           885          4                           
GPU 0           71           63                448.908           870          4                           
GPU 1           70           62                447.165           885          4                           
GPU 2           70           62                447.165           945          4                           
GPU 3           72           62                449.026           915          4                           
GPU 4           72           63                448.662           915          4                           
GPU 5           72           62                448.451           855          4                           
GPU 6           71           62                448.967           900          4                           
GPU 7           71           61                447.978           915          4                           
GPU 0           71           64                449.518           885          4                           
GPU 1           70           62                446.824           885          4                           
GPU 2           70           62                447.892           945          4                           
GPU 3           72           62                448.728           915          4                           
GPU 4           72           63                448.155           900          4                           
GPU 5           72           62                448.971           855          4                           
GPU 6           71           62                448.572           885          4                           
GPU 7           71           61                447.931           885          4                           
GPU 0           71           63                449.102           885          4                           
GPU 1           70           62                447.185           900          4                           
GPU 2           70           62                447.561           945          4                           
GPU 3           72           62                448.997           930          4                           
GPU 4           72           63                448.337           915          4                           
GPU 5           72           62                448.710           840          4                           
GPU 6           71           62                449.051           870          4                           
GPU 7           71           61                447.533           915          4                           
GPU 0           70           63                448.596           885          4                           
GPU 1           70           62                447.453           885          4                           
GPU 2           70           62                447.619           930          4                           
GPU 3           72           62                448.239           945          4                           
GPU 4           72           63                448.109           855          4                           
GPU 5           72           62                448.857           840          4                           
GPU 6           70           62                448.726           885          4                           
GPU 7           71           61                448.183           915          4                           
GPU 0           70           63                449.287           885          4                           
GPU 1           70           62                447.326           885          4                           
GPU 2           70           62                447.536           900          4                           
GPU 3           72           62                448.559           930          4                           
GPU 4           72           63                448.029           930          4                           
GPU 5           72           63                448.679           840          4                           
GPU 6           70           62                448.171           870          4                           
GPU 7           71           61                448.238           900          4                           
#Entity         TMPTR        MMTMP             POWER             SMCLK        DVCCTR                      
ID               C           C                  W                                                         
GPU 0           70           63                449.244           885          4                           
GPU 1           70           62                446.917           885          4                           
GPU 2           70           62                448.375           900          4                           
GPU 3           72           62                448.797           930          4                           
GPU 4           72           63                447.681           915          4                           
GPU 5           72           62                448.440           840          4                           
GPU 6           70           62                448.259           885          4                           
GPU 7           71           61                447.870           900          4                           
GPU 0           70           63                449.109           885          4                           
GPU 1           70           61                447.157           900          4                           
GPU 2           70           62                448.213           915          4                           
GPU 3           72           62                448.768           915          4                           
GPU 4           72           63                448.387           900          4                           
GPU 5           71           62                448.744           840          4                           
GPU 6           70           62                448.962           885          4                           
GPU 7           71           61                448.767           900          4                           
GPU 0           70           63                448.930           885          4                           
GPU 1           70           62                446.921           900          4                           
GPU 2           70           61                448.431           915          4                           
GPU 3           72           62                448.456           930          4                           
GPU 4           72           63                447.870           915          4                           
GPU 5           71           62                448.433           840          4                           
GPU 6           70           62                448.843           885          4                           
GPU 7           71           61                448.269           915          4                           
GPU 0           70           62                449.085           900          4                           
GPU 1           70           62                447.251           900          4                           
GPU 2           70           61                447.846           945          4                           
GPU 3           72           62                448.703           960          4                           
GPU 4           71           63                448.088           885          4                           
GPU 5           71           62                449.183           825          4                           
GPU 6           70           62                448.149           885          4                           
GPU 7           71           61                449.048           915          4                           
GPU 0           70           63                448.944           900          4                           
GPU 1           70           62                447.014           900          4                           
GPU 2           70           61                447.712           945          4                           
GPU 3           72           62                448.727           930          4                           
GPU 4           72           63                447.523           915          4                           
GPU 5           71           62                448.113           840          4                           
GPU 6           70           62                449.163           885          4                           
GPU 7           71           61                448.439           900          4                           
GPU 0           70           62                448.947           885          4                           
GPU 1           70           61                447.234           900          4                           
GPU 2           70           61                447.825           915          4                           
GPU 3           72           62                448.962           915          4                           
GPU 4           72           64                448.398           945          4                           
GPU 5           71           62                448.839           840          4                           
GPU 6           70           62                448.777           885          4                           
GPU 7           71           61                448.149           915          4                           
GPU 0           70           63                448.885           900          4                           
GPU 1           69           62                447.226           900          4                           
GPU 2           70           61                447.622           960          4                           
GPU 3           71           62                448.684           930          4                           
GPU 4           72           63                448.136           930          4                           
GPU 5           71           62                448.408           840          4                           
GPU 6           70           62                448.683           885          4                           
GPU 7           71           61                448.064           900          4                           
GPU 0           70           62                448.783           900          4                           
GPU 1           69           62                447.153           885          4                           
GPU 2           70           61                448.045           960          4                           
GPU 3           72           62                448.913           900          4                           
GPU 4           71           63                447.615           900          4                           
GPU 5           71           62                448.695           840          4                           
GPU 6           70           62                448.993           885          4                           
GPU 7           70           61                447.668           885          4                           
GPU 0           70           62                448.863           885          4                           
GPU 1           69           62                446.915           885          4                           
GPU 2           70           61                447.465           945          4                           
GPU 3           72           62                449.525           915          4                           
GPU 4           71           63                448.698           915          4                           
GPU 5           71           62                449.096           840          4                           
GPU 6           70           62                448.526           885          4                           
GPU 7           70           61                448.090           900          4                           
GPU 0           70           62                448.801           900          4                           
GPU 1           69           62                447.055           885          4                           
GPU 2           70           61                447.912           930          4                           
GPU 3           71           62                448.501           915          4                           
GPU 4           72           63                448.047           900          4                           
GPU 5           71           62                448.997           840          4                           
GPU 6           70           62                448.587           870          4                           
GPU 7           70           61                447.936           915          4                           
GPU 0           70           62                448.564           900          4                           
GPU 1           69           62                447.203           900          4                           
GPU 2           70           61                448.022           900          4                           
GPU 3           72           62                448.479           945          4                           
GPU 4           71           63                447.898           930          4                           
GPU 5           71           62                449.190           825          4                           
GPU 6           70           62                448.716           885          4                           
GPU 7           70           61                448.646           885          4                           
GPU 0           70           63                448.703           900          4                           
GPU 1           69           62                447.309           885          4                           
GPU 2           70           61                447.907           915          4                           
GPU 3           71           62                448.610           930          4                           
GPU 4           71           63                447.924           930          4                           
GPU 5           71           62                448.939           840          4                           
GPU 6           70           62                448.642           885          4                           
GPU 7           70           61                448.377           885          4                           
GPU 0           70           63                448.782           900          4                           
GPU 1           69           62                447.318           900          4                           
GPU 2           70           61                447.436           945          4                           
GPU 3           71           62                449.079           915          4                           
GPU 4           71           64                447.925           900          4                           
GPU 5           71           62                448.987           840          4                           
GPU 6           70           62                449.119           885          4                           
GPU 7           70           61                448.360           915          4                           
GPU 0           70           62                449.054           900          4                           
GPU 1           69           62                446.940           885          4                           
GPU 2           70           61                448.100           960          4                           
GPU 3           71           62                448.727           915          4                           
GPU 4           71           63                448.195           900          4                           
GPU 5           71           62                448.430           840          4                           
GPU 6           70           62                449.287           885          4                           
GPU 7           70           61                447.802           900          4                           
#Entity         TMPTR        MMTMP             POWER             SMCLK        DVCCTR                      
ID               C           C                  W                                                         
GPU 0           70           62                449.194           900          4                           
GPU 1           69           62                447.098           900          4                           
GPU 2           70           61                448.085           900          4                           
GPU 3           71           62                449.028           915          4                           
GPU 4           71           63                448.751           915          4                           
GPU 5           71           62                448.822           840          4                           
GPU 6           70           62                448.186           885          4                           
GPU 7           70           61                448.054           900          4                           
GPU 0           70           63                448.820           900          4                           
GPU 1           69           62                447.158           885          4                           
GPU 2           70           61                447.897           900          4                           
GPU 3           71           62                448.300           945          4                           
GPU 4           71           63                448.388           870          4                           
GPU 5           71           62                448.627           840          4                           
GPU 6           70           62                448.694           885          4                           
GPU 7           71           61                449.066           870          4                           
GPU 0           70           62                449.227           885          4                           
GPU 1           69           62                447.219           885          4                           
GPU 2           70           61                447.661           945          4                           
GPU 3           71           62                448.536           930          4                           
GPU 4           71           63                448.022           915          4                           
GPU 5           71           62                448.361           855          4                           
GPU 6           70           62                449.178           885          4                           
GPU 7           70           61                448.173           930          4                           
GPU 0           70           63                448.777           885          4                           
GPU 1           69           62                447.504           870          4                           
GPU 2           70           61                447.707           915          4                           
GPU 3           71           62                448.910           915          4                           
GPU 4           71           63                448.117           915          4                           
GPU 5           71           62                448.895           840          4                           
GPU 6           70           62                448.289           900          4                           
GPU 7           70           61                448.792           885          4                           
GPU 0           70           62                448.591           900          4                           
GPU 1           69           62                446.824           885          4                           
GPU 2           70           61                447.858           900          4                           
GPU 3           71           62                449.298           930          4                           
GPU 4           71           63                448.668           930          4                           
GPU 5           71           61                449.042           840          4                           
GPU 6           70           62                448.449           885          4                           
GPU 7           70           61                447.880           900          4                           
GPU 0           70           63                448.420           900          4                           
GPU 1           69           62                446.858           885          4                           
GPU 2           70           61                447.864           930          4                           
GPU 3           71           62                448.291           930          4                           
GPU 4           71           63                447.623           930          4                           
GPU 5           71           62                449.064           855          4                           
GPU 6           70           62                448.786           885          4                           
GPU 7           70           61                448.710           885          4                           
GPU 0           70           62                448.998           885          4                           
GPU 1           69           62                447.316           885          4                           
GPU 2           70           61                448.724           915          4                           
GPU 3           71           62                448.828           915          4                           
GPU 4           71           63                448.177           900          4                           
GPU 5           71           62                449.238           855          4                           
GPU 6           70           62                448.812           885          4                           
GPU 7           70           61                447.944           900          4                           
GPU 0           70           62                448.617           900          4                           
GPU 1           69           62                447.035           885          4                           
GPU 2           70           61                447.777           960          4                           
GPU 3           71           62                448.878           930          4                           
GPU 4           71           63                448.272           915          4                           
GPU 5           71           62                448.845           840          4                           
GPU 6           70           62                448.536           885          4                           
GPU 7           70           61                448.004           870          4                           
GPU 0           70           62                449.198           915          4                           
GPU 1           69           62                447.409           885          4                           
GPU 2           70           61                447.961           915          4                           
GPU 3           71           62                448.633           945          4                           
GPU 4           71           62                447.971           930          4                           
GPU 5           71           62                449.064           840          4                           
GPU 6           70           62                449.059           885          4                           
GPU 7           70           61                448.399           900          4                           
GPU 0           70           62                448.696           900          4                           
GPU 1           69           62                447.026           885          4                           
GPU 2           70           61                448.278           915          4                           
GPU 3           71           61                448.873           915          4                           
GPU 4           71           62                447.870           885          4                           
GPU 5           71           62                449.500           840          4                           
GPU 6           70           62                448.914           885          4                           
GPU 7           70           60                448.093           915          4                           
GPU 0           70           62                449.032           900          4                           
GPU 1           69           61                446.853           885          4                           
GPU 2           69           61                447.576           945          4                           
GPU 3           71           62                448.905           930          4                           
GPU 4           71           62                448.389           930          4                           
GPU 5           71           62                449.291           855          4                           
GPU 6           70           62                448.623           870          4                           
GPU 7           70           60                448.038           900          4                           
GPU 0           70           63                448.748           885          4                           
GPU 1           69           62                447.282           900          4                           
GPU 2           70           61                447.682           945          4                           
GPU 3           71           61                448.865           915          4                           
GPU 4           71           62                447.710           930          4                           
GPU 5           71           62                448.967           855          4                           
GPU 6           70           62                449.007           870          4                           
GPU 7           70           60                448.054           930          4                           
GPU 0           70           62                449.028           900          4                           
GPU 1           69           62                447.265           885          4                           
GPU 2           70           61                447.922           945          4                           
GPU 3           71           62                449.560           885          4                           
GPU 4           71           62                448.194           945          4                           
GPU 5           71           62                448.877           855          4                           
GPU 6           70           62                449.047           870          4                           
GPU 7           70           61                448.582           915          4                           
GPU 0           70           62                449.224           900          4                           
GPU 1           69           61                446.926           885          4                           
GPU 2           70           61                448.066           915          4                           
GPU 3           71           62                449.355           900          4                           
GPU 4           71           63                448.501           915          4                           
GPU 5           71           62                449.408           855          4                           
GPU 6           70           62                448.413           885          4                           
GPU 7           70           61                447.900           885          4                           
#Entity         TMPTR        MMTMP             POWER             SMCLK        DVCCTR                      
ID               C           C                  W                                                         
GPU 0           70           62                448.523           900          4                           
GPU 1           69           62                447.597           885          4                           
GPU 2           69           61                448.211           915          4                           
GPU 3           71           62                448.946           930          4                           
GPU 4           71           63                447.807           900          4                           
GPU 5           71           62                448.473           840          4                           
GPU 6           70           62                449.035           885          4                           
GPU 7           70           60                448.273           900          4                           
GPU 0           70           62                448.535           900          4                           
GPU 1           69           62                447.021           885          4                           
GPU 2           70           61                447.856           930          4                           
GPU 3           71           62                449.387           930          4                           
GPU 4           71           63                447.580           915          4                           
GPU 5           71           62                448.723           855          4                           
GPU 6           70           62                448.781           870          4                           
GPU 7           70           61                447.961           900          4                           
GPU 0           70           62                448.826           900          4                           
GPU 1           69           62                447.455           885          4                           
GPU 2           69           61                448.240           945          4                           
GPU 3           71           61                448.867           915          4                           
GPU 4           71           62                448.368           915          4                           
GPU 5           71           62                448.809           840          4                           
GPU 6           70           62                448.469           870          4                           
GPU 7           70           60                448.207           900          4                           
GPU 0           70           62                448.559           900          4                           
GPU 1           69           62                446.794           885          4                           
GPU 2           69           61                447.418           930          4                           
GPU 3           71           61                448.449           915          4                           
GPU 4           71           63                448.049           870          4                           
GPU 5           71           62                449.390           840          4                           
GPU 6           70           62                448.836           885          4                           
GPU 7           70           60                447.812           900          4                           
GPU 0           70           62                448.696           900          4                           
GPU 1           69           62                447.317           885          4                           
GPU 2           69           61                448.374           915          4                           
GPU 3           71           61                448.830           915          4                           
GPU 4           71           63                448.809           885          4                           
GPU 5           71           62                448.732           855          4                           
GPU 6           70           62                448.463           885          4                           
GPU 7           70           60                448.323           885          4                           
GPU 0           70           62                448.364           900          4                           
GPU 1           69           62                447.517           885          4                           
GPU 2           69           61                448.299           945          4                           
GPU 3           71           61                448.556           930          4                           
GPU 4           71           62                448.319           900          4                           
GPU 5           71           62                448.402           840          4                           
GPU 6           70           62                448.852           885          4                           
GPU 7           70           61                448.301           900          4                           
GPU 0           70           62                448.569           900          4                           
GPU 1           69           62                447.164           885          4                           
GPU 2           69           61                447.200           930          4                           
GPU 3           71           61                447.970           930          4                           
GPU 4           71           63                448.114           930          4                           
GPU 5           71           62                448.909           855          4                           
GPU 6           70           62                448.951           885          4                           
GPU 7           70           60                448.719           885          4                           
GPU 0           70           62                448.866           900          4                           
GPU 1           69           62                447.354           885          4                           
GPU 2           70           61                448.879           945          4                           
GPU 3           71           61                449.100           930          4                           
GPU 4           71           63                447.975           900          4                           
GPU 5           71           62                449.795           855          4                           
GPU 6           70           62                448.711           885          4                           
GPU 7           70           60                447.825           900          4                           
GPU 0           70           62                449.159           900          4                           
GPU 1           69           61                447.227           885          4                           
GPU 2           70           61                447.135           945          4                           
GPU 3           71           62                448.959           945          4                           
GPU 4           71           63                448.365           930          4                           
GPU 5           71           62                449.258           855          4                           
GPU 6           70           62                448.894           870          4                           
GPU 7           70           61                448.213           885          4                           
GPU 0           70           62                449.089           900          4                           
GPU 1           69           62                446.385           870          4                           
GPU 2           70           61                447.937           945          4                           
GPU 3           71           62                448.654           930          4                           
GPU 4           71           63                447.910           915          4                           
GPU 5           71           62                448.522           840          4                           
GPU 6           70           62                448.884           885          4                           
GPU 7           70           61                448.254           900          4                           
GPU 0           70           62                449.126           900          4                           
GPU 1           69           62                447.543           885          4                           
GPU 2           69           61                447.519           915          4                           
GPU 3           71           61                448.017           945          4                           
GPU 4           71           63                447.833           900          4                           
GPU 5           71           62                448.686           855          4                           
GPU 6           70           62                448.848           885          4                           
GPU 7           70           60                448.145           900          4                           
GPU 0           70           62                448.921           900          4                           
GPU 1           69           62                447.445           885          4                           
GPU 2           69           61                448.495           930          4                           
GPU 3           71           61                449.135           900          4                           
GPU 4           71           63                448.000           930          4                           
GPU 5           71           62                448.670           855          4                           
GPU 6           70           62                448.527           885          4                           
GPU 7           70           61                447.937           885          4                           
GPU 0           70           62                448.896           900          4                           
GPU 1           69           62                446.961           900          4                           
GPU 2           69           61                447.192           915          4                           
GPU 3           71           62                449.250           885          4                           
GPU 4           71           63                447.668           915          4                           
GPU 5           71           62                448.864           840          4                           
GPU 6           70           62                449.040           885          4                           
GPU 7           70           61                448.295           885          4                           
GPU 0           70           62                448.979           900          4                           
GPU 1           69           62                447.043           885          4                           
GPU 2           69           61                447.840           915          4                           
GPU 3           71           62                448.706           945          4                           
GPU 4           71           63                448.248           915          4                           
GPU 5           71           62                449.283           855          4                           
GPU 6           70           62                449.070           870          4                           
GPU 7           70           61                448.801           915          4                           
#Entity         TMPTR        MMTMP             POWER             SMCLK        DVCCTR                      
ID               C           C                  W                                                         
GPU 0           70           62                449.038           900          4                           
GPU 1           69           62                447.223           885          4                           
GPU 2           70           61                447.682           930          4                           
GPU 3           71           61                448.998           915          4                           
GPU 4           71           63                447.477           930          4                           
GPU 5           71           62                448.603           840          4                           
GPU 6           70           62                448.683           885          4                           
GPU 7           70           60                447.785           915          4                           
GPU 0           70           62                448.665           900          4                           
GPU 1           69           62                446.705           900          4                           
GPU 2           69           61                447.968           915          4                           
GPU 3           71           61                448.957           945          4                           
GPU 4           71           62                448.488           915          4                           
GPU 5           71           62                449.026           855          4                           
GPU 6           70           62                448.827           885          4                           
GPU 7           70           61                448.100           900          4                           
