#Entity         POWER             SMACT        TENSO        DRAMA        PCITX                       PCIRX                       
ID               W                                                                                                               
GPU 5           98.639            0.000        0.000        0.000        485910                      279385                      
GPU 6           99.589            0.000        0.000        0.000        493759                      280949                      
GPU 7           101.588           0.000        0.000        0.000        487474                      276235                      
GPU 0           97.227            0.000        0.000        0.000        493745                      277273                      
GPU 1           98.253            0.000        0.000        0.000        487995                      280951                      
GPU 2           99.077            0.000        0.000        0.000        490609                      277802                      
GPU 3           97.421            0.000        0.000        0.000        496369                      280419                      
GPU 4           98.302            0.000        0.000        0.000        481184                      269421                      
GPU 5           98.608            0.000        0.000        0.000        473845                      268896                      
GPU 6           99.553            0.000        0.000        0.000        483790                      270985                      
GPU 7           101.546           0.000        0.000        0.000        468562                      267825                      
GPU 0           97.306            0.000        0.000        0.000        447616                      235339                      
GPU 1           98.200            0.000        0.000        0.000        429818                      224344                      
GPU 2           99.156            0.000        0.000        0.000        433480                      225913                      
GPU 3           97.432            0.000        0.000        0.000        449707                      235860                      
GPU 4           98.295            0.000        0.000        0.000        449196                      239536                      
GPU 5           98.628            0.000        0.000        0.000        420909                      218055                      
GPU 6           99.616            0.000        0.000        0.000        439777                      230634                      
GPU 7           101.653           0.000        0.000        0.000        447096                      237438                      
#Entity         POWER             SMACT        TENSO        DRAMA        PCITX                       PCIRX                       
ID               W                                                                                                               
GPU 0           97.088            0.000        0.000        0.000        256303                      55558                       
GPU 1           98.286            0.000        0.000        0.000        256318                      67093                       
GPU 2           99.085            0.000        0.000        0.000        284473                      89582                       
GPU 3           97.432            0.000        0.000        0.000        254206                      55034                       
GPU 4           98.308            0.000        0.000        0.000        240066                      44553                       
GPU 5           98.624            0.000        0.000        0.000        250027                      61851                       
GPU 6           99.578            0.000        0.000        0.000        251071                      55036                       
GPU 7           101.598           0.000        0.000        0.000        241036                      46635                       
GPU 0           97.070            0.000        0.000        0.000        491639                      275171                      
GPU 1           98.188            0.000        0.000        0.000        485366                      275704                      
GPU 2           99.041            0.000        0.000        0.000        462303                      247924                      
GPU 3           97.442            0.000        0.000        0.000        492167                      276221                      
GPU 4           98.303            0.000        0.000        0.000        482217                      268364                      
GPU 5           98.597            0.000        0.000        0.000        472794                      266274                      
GPU 6           99.615            0.000        0.000        0.000        480134                      270468                      
GPU 7           101.515           0.000        0.000        0.000        484843                      272036                      
GPU 0           97.133            0.000        0.000        0.000        494792                      279369                      
GPU 1           98.300            0.000        0.000        0.000        484325                      278853                      
GPU 2           99.091            0.000        0.000        0.000        489561                      277802                      
GPU 3           97.459            0.000        0.000        0.000        492175                      276226                      
GPU 4           98.325            0.000        0.000        0.000        483271                      270988                      
GPU 5           98.571            0.000        0.000        0.000        474371                      266277                      
GPU 6           99.571            0.000        0.000        0.000        486418                      272037                      
GPU 7           101.539           0.000        0.000        0.000        484848                      270990                      
GPU 0           97.274            0.000        0.000        0.000        489020                      272027                      
GPU 1           98.303            0.000        0.000        0.000        479088                      273614                      
GPU 2           99.148            0.000        0.000        0.000        483273                      271513                      
GPU 3           97.402            0.000        0.000        0.000        486931                      270983                      
GPU 4           98.233            0.000        0.000        0.000        493223                      279895                      
GPU 5           98.652            0.000        0.000        0.000        484194                      279302                      
GPU 6           99.592            0.000        0.000        0.000        492707                      281472                      
GPU 7           101.611           0.000        0.000        0.000        489040                      277804                      
GPU 0           97.237            0.000        0.000        0.000        482729                      267309                      
GPU 1           98.211            0.000        0.000        0.000        426149                      222247                      
GPU 2           99.097            0.000        0.000        0.000        483273                      272038                      
GPU 3           97.449            0.000        0.000        0.000        487973                      272028                      
GPU 4           98.283            0.000        0.000        0.000        493758                      282522                      
GPU 5           98.647            0.000        0.000        0.000        452289                      246322                      
GPU 6           99.601            0.000        0.000        0.000        492196                      280431                      
GPU 7           101.492           0.000        0.000        0.000        492181                      277802                      
GPU 0           97.305            0.000        0.000        0.000        3734914                     46123                       
GPU 1           98.243            0.000        0.000        0.000        256318                      63948                       
GPU 2           99.043            0.000        0.000        0.000        239014                      48746                       
GPU 3           97.429            0.000        0.000        0.000        210178                      13627                       
GPU 4           98.266            0.000        0.000        0.000        208088                      13103                       
GPU 5           98.589            0.000        0.000        0.000        236395                      46125                       
GPU 6           99.596            0.000        0.000        0.000        205468                      13103                       
