#Entity         POWER             SMACT        TENSO        DRAMA        PCITX                       PCIRX                       
ID               W                                                                                                               
GPU 3           98.446            0.005        0.000        0.002        72981811                    380346227                   
GPU 4           99.083            0.005        0.000        0.002        114548238                   707715794                   
GPU 5           99.520            0.006        0.000        0.002        84376483                    612868636                   
GPU 6           103.299           0.005        0.000        0.002        87406479                    441852993                   
GPU 7           103.308           0.008        0.000        0.003        106411049                   532455691                   
GPU 0           183.542           0.215        0.015        0.102        2706203112                  5063530877                  
GPU 1           180.835           0.220        0.015        0.103        2411982572                  4228361289                  
GPU 2           172.748           0.205        0.014        0.096        2671276888                  5430909393                  
GPU 3           176.502           0.213        0.015        0.100        2342687727                  4016539349                  
GPU 4           178.941           0.215        0.015        0.101        2956771418                  7986378448                  
GPU 5           182.936           0.233        0.016        0.111        2604605735                  5211116587                  
GPU 6           185.948           0.214        0.015        0.101        2791333942                  5747089365                  
GPU 7           182.373           0.236        0.016        0.112        2607692226                  4821208036                  
GPU 0           187.102           0.245        0.018        0.118        2940209224                  5553818209                  
GPU 1           193.527           0.241        0.018        0.117        2526796431                  4395722284                  
GPU 2           182.848           0.242        0.018        0.116        2986177261                  6172673151                  
GPU 3           180.440           0.242        0.018        0.117        2534507347                  4469690114                  
GPU 4           189.599           0.241        0.018        0.117        3036102473                  6786614832                  
GPU 5           190.999           0.245        0.018        0.120        2600919088                  5148570173                  
GPU 6           190.269           0.241        0.018        0.117        2993494345                  6326309450                  
GPU 7           187.109           0.244        0.018        0.119        2569271362                  4796826158                  
#Entity         POWER             SMACT        TENSO        DRAMA        PCITX                       PCIRX                       
ID               W                                                                                                               
GPU 0           107.935           0.043        0.003        0.021        507397684                   1219422160                  
GPU 1           119.188           0.057        0.004        0.028        579180286                   1114275302                  
GPU 2           107.565           0.071        0.005        0.035        876714546                   2284702565                  
GPU 3           110.554           0.063        0.005        0.031        651577804                   1421088211                  
GPU 4           119.032           0.063        0.005        0.032        801141019                   2377383297                  
GPU 5           117.993           0.045        0.003        0.023        459027600                   1007113162                  
GPU 6           109.716           0.061        0.005        0.030        762883048                   2163086814                  
GPU 7           115.013           0.038        0.003        0.019        408728780                   1316702213                  
GPU 0           114.180           0.023        0.007        0.006        1864667385                  1730975069                  
GPU 1           111.067           0.027        0.007        0.007        1792403296                  2218480596                  
GPU 2           116.375           0.021        0.006        0.005        1638981371                  1688379314                  
GPU 3           110.166           0.023        0.007        0.006        1616478778                  2003738293                  
GPU 4           111.286           0.025        0.007        0.006        1920979425                  1961507215                  
GPU 5           111.155           0.033        0.010        0.009        2158602022                  2685508575                  
GPU 6           114.444           0.024        0.007        0.006        1954616193                  1796115398                  
GPU 7           115.808           0.037        0.011        0.010        2327933102                  2900868450                  
GPU 0           145.969           0.116        0.034        0.029        8190787759                  7030798978                  
GPU 1           151.299           0.115        0.034        0.030        7025856916                  8707030670                  
GPU 2           146.399           0.117        0.035        0.029        8212729375                  7078755369                  
GPU 3           146.207           0.114        0.033        0.030        7032975871                  8696537229                  
GPU 4           148.044           0.115        0.034        0.029        8230106743                  7050330281                  
GPU 5           149.108           0.117        0.035        0.030        7046959832                  8772314776                  
GPU 6           147.710           0.114        0.034        0.029        8194355104                  7046194369                  
GPU 7           150.950           0.114        0.034        0.030        7059761618                  8766833940                  
GPU 0           139.472           0.100        0.031        0.025        7415814438                  6478303642                  
GPU 1           146.141           0.097        0.029        0.025        6375087487                  8030448286                  
GPU 2           139.225           0.100        0.031        0.025        7401704774                  6518040953                  
GPU 3           138.835           0.099        0.030        0.026        6367147645                  8009725101                  
GPU 4           142.505           0.101        0.031        0.025        7431883785                  6496240258                  
GPU 5           143.339           0.099        0.030        0.026        6365087180                  8067971929                  
GPU 6           141.136           0.100        0.031        0.025        7439076255                  7136318298                  
GPU 7           143.851           0.100        0.031        0.027        6417557435                  8686290224                  
GPU 0           145.246           0.116        0.035        0.029        8239625996                  7064261847                  
GPU 1           150.672           0.116        0.034        0.030        7032655218                  8719150729                  
GPU 2           145.364           0.116        0.035        0.029        8242431529                  7109462842                  
GPU 3           144.925           0.115        0.034        0.030        7086222551                  8776358689                  
GPU 4           149.456           0.116        0.034        0.029        8292045886                  7103856280                  
GPU 5           151.041           0.120        0.036        0.031        7047595308                  8781435810                  
GPU 6           145.985           0.117        0.035        0.030        8215735748                  7063826956                  
GPU 7           149.688           0.115        0.034        0.030        7068370713                  8785634337                  
GPU 0           145.441           0.114        0.035        0.029        8207698048                  7592610420                  
GPU 1           154.530           0.111        0.034        0.029        6978287124                  8996304504                  
GPU 2           144.638           0.117        0.035        0.029        8239471185                  7413696619                  
GPU 3           143.587           0.114        0.035        0.030        7023021764                  9058105542                  
GPU 4           146.471           0.115        0.035        0.029        8212071308                  7852025103                  
GPU 5           145.803           0.108        0.032        0.028        6964215767                  9030152345                  
GPU 6           146.673           0.112        0.034        0.028        8193479807                  8096270445                  
GPU 7           147.802           0.113        0.034        0.030        6997288104                  9623258844                  
GPU 0           147.760           0.119        0.036        0.030        8021293347                  7034433970                  
GPU 1           156.590           0.120        0.036        0.032        6937337473                  8676552258                  
GPU 2           148.995           0.119        0.036        0.030        8018934062                  7031300880                  
GPU 3           147.253           0.119        0.036        0.031        6892061986                  8628630010                  
GPU 4           149.325           0.118        0.036        0.030        8062249487                  7136821900                  
GPU 5           154.566           0.125        0.038        0.032        6968990224                  8770574017                  
GPU 6           147.659           0.119        0.036        0.030        8085870092                  7144340815                  
GPU 7           154.430           0.122        0.037        0.032        6985670158                  8927713502                  
GPU 0           121.606           0.078        0.020        0.018        4787469275                  9496132952                  
GPU 1           129.868           0.074        0.018        0.018        3621691609                  5536683145                  
GPU 2           122.617           0.078        0.020        0.019        4892069240                  9361582270                  
GPU 3           123.295           0.075        0.019        0.019        3743724312                  5326822591                  
GPU 4           124.488           0.075        0.019        0.018        4749874132                  9402083360                  
GPU 5           127.651           0.072        0.017        0.017        3337092379                  5464358007                  
GPU 6           122.886           0.076        0.019        0.018        4715062385                  10138109331                 
GPU 7           128.161           0.071        0.016        0.017        3220233077                  5811012077                  
GPU 0           112.606           0.054        0.005        0.014        2151882183                  14576481397                 
GPU 1           117.094           0.053        0.005        0.013        1045252882                  3092785532                  
GPU 2           112.149           0.054        0.005        0.014        1945082001                  11593575457                 
GPU 3           114.854           0.053        0.005        0.013        1035465617                  2927027158                  
GPU 4           113.881           0.053        0.005        0.013        2174300216                  14758111842                 
GPU 5           117.555           0.054        0.005        0.014        952868740                   1512795499                  
GPU 6           114.907           0.054        0.005        0.013        2193478564                  14390994436                 
GPU 7           119.629           0.054        0.005        0.013        945324486                   1483631098                  
GPU 0           113.710           0.056        0.006        0.015        2089697870                  13704502165                 
GPU 1           118.943           0.055        0.006        0.015        966857475                   1977943056                  
GPU 2           115.041           0.056        0.006        0.015        1929105949                  11684671468                 
GPU 3           114.501           0.055        0.006        0.015        956444640                   1858713813                  
GPU 4           115.807           0.056        0.006        0.015        2129806440                  14018630787                 
GPU 5           116.616           0.056        0.006        0.015        926521617                   1442128344                  
GPU 6           116.666           0.055        0.006        0.015        2164215080                  14552714760                 
GPU 7           119.538           0.056        0.006        0.015        931654196                   1475926773                  
GPU 0           115.864           0.059        0.007        0.017        2079888262                  13151249891                 
GPU 1           121.018           0.058        0.006        0.017        1001762637                  1914782322                  
GPU 2           115.550           0.058        0.007        0.017        1891551498                  11432428003                 
GPU 3           115.334           0.058        0.006        0.017        988826786                   1844263407                  
GPU 4           117.177           0.059        0.007        0.017        2123929564                  13861684274                 
GPU 5           118.606           0.058        0.007        0.017        945268710                   1457399829                  
GPU 6           116.675           0.058        0.006        0.017        2208244565                  14617802976                 
GPU 7           120.684           0.058        0.006        0.017        940304244                   1468849651                  
GPU 0           117.208           0.058        0.006        0.016        2065634986                  13533049764                 
GPU 1           121.935           0.058        0.007        0.017        953633163                   1947337642                  
GPU 2           114.599           0.058        0.006        0.017        1922591466                  11517997491                 
GPU 3           118.460           0.058        0.006        0.017        941963576                   1813642970                  
GPU 4           117.441           0.058        0.007        0.017        2125671232                  13684486024                 
GPU 5           117.743           0.058        0.007        0.017        918158624                   1410620867                  
GPU 6           118.963           0.058        0.006        0.016        2122200511                  14257205016                 
GPU 7           121.309           0.059        0.007        0.017        954026086                   1511947377                  
GPU 0           117.797           0.058        0.006        0.016        2090336958                  13516980653                 
GPU 1           120.675           0.057        0.006        0.016        968389979                   1910117258                  
GPU 2           116.178           0.058        0.006        0.016        1910226215                  11398237308                 
GPU 3           118.282           0.057        0.006        0.016        956844488                   1764904266                  
GPU 4           117.007           0.057        0.006        0.016        2113607624                  14146237716                 
GPU 5           118.966           0.058        0.006        0.017        934212245                   1461157217                  
GPU 6           118.505           0.057        0.006        0.016        2187604238                  14671353629                 
GPU 7           120.401           0.058        0.006        0.016        906410366                   1438452254                  
GPU 0           114.835           0.057        0.006        0.016        2060365570                  12858189865                 
GPU 1           119.067           0.057        0.006        0.016        1000241497                  1929310370                  
GPU 2           114.838           0.058        0.006        0.018        2182053574                  13210071397                 
GPU 3           116.174           0.057        0.006        0.016        996976887                   1944096281                  
GPU 4           115.978           0.057        0.006        0.016        2180234210                  14220783119                 
GPU 5           120.764           0.057        0.006        0.016        963792575                   1480680707                  
GPU 6           117.630           0.057        0.006        0.016        2107194120                  13383027808                 
GPU 7           119.639           0.058        0.006        0.016        959067512                   1493873922                  
#Entity         POWER             SMACT        TENSO        DRAMA        PCITX                       PCIRX                       
ID               W                                                                                                               
GPU 0           114.536           0.058        0.006        0.016        2098232282                  13546613223                 
GPU 1           118.907           0.057        0.006        0.016        990116971                   2022286494                  
GPU 2           115.533           0.058        0.006        0.016        1909084429                  11396438668                 
GPU 3           117.901           0.058        0.006        0.017        972485337                   1861684792                  
GPU 4           118.262           0.058        0.006        0.017        2128009109                  13874127726                 
GPU 5           119.799           0.057        0.006        0.016        935526365                   1454010194                  
GPU 6           116.260           0.057        0.006        0.016        2138228498                  14040443618                 
GPU 7           121.496           0.058        0.006        0.017        935300173                   1482529460                  
GPU 0           113.768           0.058        0.007        0.017        2088398599                  13386398379                 
GPU 1           119.870           0.058        0.006        0.017        965287989                   1719713932                  
GPU 2           115.603           0.058        0.006        0.016        1899074958                  11310884272                 
GPU 3           117.905           0.058        0.006        0.017        959847131                   1650703310                  
GPU 4           115.839           0.058        0.006        0.016        2141866352                  13981813954                 
GPU 5           118.821           0.058        0.006        0.017        964495443                   1735386565                  
GPU 6           118.288           0.058        0.006        0.017        2214538022                  14806328840                 
GPU 7           122.232           0.058        0.007        0.017        963130377                   1727906360                  
GPU 0           115.608           0.058        0.007        0.017        2075636544                  14027701922                 
GPU 1           118.652           0.057        0.006        0.016        901753498                   1597532833                  
GPU 2           116.904           0.058        0.007        0.016        1876232320                  11620327020                 
GPU 3           116.607           0.057        0.006        0.016        885056766                   1479201478                  
GPU 4           116.733           0.057        0.006        0.016        2037669179                  13599577247                 
GPU 5           120.758           0.058        0.007        0.017        913685562                   1693103199                  
GPU 6           117.747           0.058        0.007        0.016        2137272568                  14834287356                 
GPU 7           120.367           0.057        0.006        0.016        914301283                   1661968220                  
GPU 0           115.078           0.058        0.006        0.016        2014783967                  13009428114                 
GPU 1           118.654           0.057        0.006        0.016        912905988                   1577069499                  
GPU 2           115.090           0.057        0.006        0.016        1904424787                  11925279892                 
GPU 3           117.909           0.057        0.006        0.017        914236091                   1539808444                  
GPU 4           114.949           0.057        0.006        0.016        2089250197                  13988112196                 
GPU 5           119.457           0.057        0.006        0.016        918310160                   1698600955                  
