#Entity         POWER             SMACT        TENSO        DRAMA        PCITX                       PCIRX                       
ID               W                                                                                                               
GPU 3           96.731            0.001        0.000        0.000        5334718                     21799595                    
GPU 4           97.621            0.000        0.000        0.000        506859                      301914                      
GPU 5           98.123            0.000        0.000        0.000        498478                      302966                      
GPU 6           99.068            0.000        0.000        0.000        502126                      302953                      
GPU 7           100.569           0.000        0.000        0.000        507379                      304532                      
GPU 0           98.384            0.007        0.000        0.002        213672850                   2302960997                  
GPU 1           99.948            0.006        0.000        0.002        93787037                    836377474                   
GPU 2           101.449           0.008        0.000        0.002        252137768                   2656519516                  
GPU 3           99.096            0.006        0.000        0.002        97736018                    934816289                   
GPU 4           99.583            0.007        0.000        0.002        204206207                   2182294437                  
GPU 5           99.813            0.005        0.000        0.002        64254100                    187871893                   
GPU 6           100.799           0.008        0.000        0.002        253030978                   2893264358                  
GPU 7           102.334           0.006        0.000        0.002        97542422                    929118073                   
GPU 0           178.868           0.213        0.015        0.100        2697881216                  7627073050                  
GPU 1           183.582           0.215        0.015        0.101        2307299296                  5483794814                  
GPU 2           179.215           0.230        0.016        0.109        2857517061                  7308748913                  
GPU 3           176.171           0.190        0.013        0.089        2010731282                  4966900321                  
GPU 4           181.246           0.211        0.015        0.100        2756436876                  8473152428                  
GPU 5           179.383           0.206        0.015        0.098        2268832493                  6923190818                  
GPU 6           178.773           0.214        0.015        0.101        2765865710                  8375790673                  
GPU 7           178.562           0.214        0.015        0.101        2335928828                  7091302740                  
#Entity         POWER             SMACT        TENSO        DRAMA        PCITX                       PCIRX                       
ID               W                                                                                                               
GPU 0           188.339           0.245        0.018        0.116        2969113564                  7208645465                  
GPU 1           195.063           0.246        0.018        0.117        2580393844                  6197423449                  
GPU 2           182.772           0.244        0.018        0.116        3033448781                  7900185917                  
GPU 3           182.892           0.246        0.018        0.118        2580841545                  6373154214                  
GPU 4           188.690           0.243        0.018        0.116        3050793703                  8352668085                  
GPU 5           191.053           0.243        0.018        0.117        2645089767                  7785386780                  
GPU 6           190.619           0.242        0.017        0.116        3019469349                  8122578041                  
GPU 7           186.341           0.244        0.018        0.117        2628608194                  7392302992                  
GPU 0           156.472           0.173        0.012        0.083        2137888556                  5152718575                  
GPU 1           159.382           0.165        0.012        0.079        1774432251                  4205357706                  
GPU 2           150.335           0.156        0.011        0.075        1930615196                  4846712725                  
GPU 3           152.165           0.197        0.014        0.094        2093179065                  5038598717                  
GPU 4           156.202           0.173        0.012        0.083        2165401441                  5550412365                  
GPU 5           162.028           0.178        0.013        0.086        1958294548                  5662444877                  
GPU 6           160.069           0.166        0.012        0.079        2126817192                  5794747281                  
GPU 7           155.132           0.171        0.012        0.082        1883785746                  5391957649                  
GPU 0           99.311            0.008        0.000        0.002        650204434                   10823339712                 
GPU 1           99.629            0.004        0.000        0.002        48236804                    412648051                   
GPU 2           100.239           0.005        0.000        0.002        63249914                    577173419                   
GPU 3           99.726            0.008        0.000        0.002        373002586                   7538854071                  
GPU 4           100.337           0.008        0.000        0.002        633054119                   10512490185                 
GPU 5           99.977            0.004        0.000        0.002        40124466                    235549295                   
GPU 6           100.948           0.005        0.000        0.002        72164407                    741382745                   
GPU 7           102.386           0.005        0.000        0.002        35749942                    138655642                   
GPU 0           97.850            0.005        0.000        0.000        356551956                   4160518310                  
GPU 1           98.603            0.001        0.000        0.000        4564712                     5929042                     
GPU 2           99.024            0.001        0.000        0.000        38498079                    396572147                   
GPU 3           99.033            0.007        0.000        0.000        67307228                    1265524440                  
GPU 4           99.691            0.007        0.000        0.000        635370421                   8197512959                  
GPU 5           98.835            0.001        0.000        0.000        4219018                     4871525                     
GPU 6           99.875            0.002        0.000        0.000        162557909                   1842664524                  
GPU 7           101.118           0.001        0.000        0.000        4233010                     4927504                     
GPU 0           126.137           0.071        0.023        0.020        1561450238                  5148643319                  
GPU 1           128.400           0.069        0.023        0.020        1160178213                  1723640497                  
GPU 2           127.250           0.069        0.023        0.020        1345972318                  1962230016                  
GPU 3           124.414           0.072        0.023        0.020        1247086118                  3475787873                  
GPU 4           127.276           0.072        0.023        0.020        1576732161                  5304993072                  
GPU 5           126.993           0.067        0.023        0.020        1160097612                  1681951005                  
GPU 6           129.744           0.070        0.023        0.020        1416230502                  3054409757                  
GPU 7           129.237           0.070        0.023        0.020        1162815127                  1764871929                  
GPU 0           98.399            0.009        0.000        0.000        842588064                   13207280823                 
GPU 1           98.450            0.002        0.000        0.000        30696867                    39176192                    
GPU 2           98.886            0.001        0.000        0.000        39280685                    91988465                    
GPU 3           97.342            0.005        0.000        0.000        33935545                    58791386                    
GPU 4           98.311            0.004        0.000        0.000        44412091                    133314372                   
GPU 5           99.108            0.001        0.000        0.000        30061195                    34598338                    
GPU 6           99.468            0.002        0.000        0.000        40059492                    90097167                    
GPU 7           101.333           0.003        0.000        0.000        32259882                    49111066                    
GPU 0           104.041           0.023        0.001        0.007        1340502639                  18025665624                 
GPU 1           105.146           0.015        0.001        0.007        347629799                   2766321441                  
GPU 2           103.390           0.015        0.001        0.007        462505786                   3624410662                  
GPU 3           102.736           0.017        0.001        0.007        441865502                   4842472802                  
GPU 4           104.261           0.016        0.001        0.007        555461700                   5139868589                  
GPU 5           104.426           0.014        0.001        0.007        276422506                   1194616718                  
GPU 6           105.275           0.015        0.001        0.007        470035224                   3786420404                  
GPU 7           107.145           0.016        0.001        0.007        339116838                   2584648913                  
GPU 0           112.198           0.046        0.009        0.007        2326995405                  2133502886                  
GPU 1           114.338           0.032        0.009        0.008        2157316300                  2670108445                  
GPU 2           115.666           0.039        0.011        0.009        2912476075                  2506010794                  
GPU 3           112.773           0.017        0.005        0.004        1290798014                  1598658859                  
GPU 4           114.243           0.046        0.009        0.007        2339514947                  2143232658                  
GPU 5           112.010           0.026        0.008        0.006        1843330782                  2297835468                  
GPU 6           117.346           0.031        0.009        0.008        2438167274                  2210170215                  
GPU 7           117.059           0.029        0.009        0.008        2020926434                  2612567002                  
GPU 0           146.471           0.116        0.034        0.029        8255096813                  7253630538                  
GPU 1           153.004           0.115        0.034        0.030        7070944792                  8848392027                  
GPU 2           146.268           0.118        0.035        0.029        8268927851                  7214932372                  
GPU 3           144.737           0.115        0.033        0.030        7079759888                  8798250401                  
GPU 4           148.386           0.116        0.034        0.029        8300303675                  7358996417                  
GPU 5           151.210           0.119        0.035        0.030        7085908356                  8904172622                  
GPU 6           149.027           0.115        0.034        0.029        8251015617                  7159809733                  
GPU 7           149.701           0.117        0.035        0.031        7095715104                  8893581171                  
GPU 0           144.378           0.110        0.033        0.028        8206913586                  7476131070                  
GPU 1           148.967           0.109        0.033        0.028        7031225536                  9005632815                  
GPU 2           145.684           0.114        0.034        0.028        8164218424                  7277396502                  
GPU 3           141.554           0.109        0.032        0.028        7061692006                  9083286464                  
GPU 4           145.878           0.111        0.034        0.028        8248477659                  7644586325                  
GPU 5           148.894           0.112        0.034        0.029        7022970416                  9055882436                  
GPU 6           144.668           0.111        0.033        0.028        8219633019                  8310608784                  
GPU 7           148.483           0.110        0.033        0.029        7106338282                  9990079177                  
GPU 0           148.887           0.118        0.035        0.030        8273809702                  7102281172                  
GPU 1           154.302           0.116        0.033        0.030        7107972061                  8807788164                  
GPU 2           148.437           0.118        0.035        0.029        8304510531                  7169525810                  
GPU 3           145.032           0.118        0.034        0.031        7100898060                  8784167447                  
GPU 4           148.891           0.118        0.035        0.030        8311848648                  7123893344                  
GPU 5           153.148           0.120        0.035        0.031        7100640455                  8853262995                  
GPU 6           147.172           0.119        0.035        0.030        8256441033                  7111563258                  
GPU 7           150.304           0.119        0.035        0.031        7121792693                  8829687745                  
GPU 0           147.251           0.115        0.034        0.029        8146410678                  7484862742                  
GPU 1           153.431           0.113        0.034        0.029        6979362890                  8953052268                  
GPU 2           147.454           0.116        0.035        0.029        8103270058                  7332401681                  
GPU 3           145.181           0.113        0.033        0.029        6998751031                  8974383016                  
GPU 4           146.965           0.113        0.034        0.029        8167924560                  7691717126                  
GPU 5           149.107           0.112        0.033        0.029        6993225682                  9007993910                  
GPU 6           147.616           0.113        0.034        0.028        8169758215                  8167912835                  
GPU 7           149.025           0.114        0.034        0.030        7039403692                  9740335161                  
GPU 0           151.050           0.126        0.038        0.032        8007959108                  7140448456                  
GPU 1           158.319           0.127        0.039        0.032        6875419482                  8713948036                  
GPU 2           149.788           0.126        0.039        0.031        8025803745                  7134194632                  
GPU 3           149.311           0.128        0.039        0.033        6901522583                  8695584057                  
GPU 4           153.483           0.128        0.039        0.032        8031896817                  7255938744                  
GPU 5           156.139           0.127        0.039        0.032        6899491796                  8758058052                  
GPU 6           151.979           0.126        0.038        0.032        8014818281                  7664605810                  
GPU 7           154.451           0.127        0.039        0.033        6921290005                  9296451269                  
GPU 0           113.382           0.058        0.010        0.013        3003187033                  12957298776                 
GPU 1           119.411           0.055        0.009        0.013        1837730864                  4533790654                  
GPU 2           111.732           0.050        0.008        0.012        2141171489                  8424642606                  
GPU 3           114.868           0.064        0.013        0.015        2538713022                  4790409053                  
GPU 4           114.586           0.058        0.010        0.014        2977280421                  12829156212                 
GPU 5           117.182           0.059        0.011        0.014        2117896143                  5017803835                  
GPU 6           113.174           0.053        0.009        0.013        2833376473                  11717346878                 
GPU 7           119.225           0.058        0.010        0.014        1988203053                  5008418693                  
#Entity         POWER             SMACT        TENSO        DRAMA        PCITX                       PCIRX                       
ID               W                                                                                                               
GPU 0           115.865           0.056        0.006        0.015        2145990926                  14558172293                 
GPU 1           120.940           0.055        0.006        0.015        1016608594                  2789898534                  
GPU 2           113.761           0.057        0.006        0.015        1826770000                  10460323818                 
GPU 3           116.509           0.055        0.005        0.014        932237302                   2101453638                  
GPU 4           116.542           0.056        0.006        0.015        2181414567                  14980594689                 
GPU 5           118.883           0.056        0.006        0.015        1002692210                  2727285999                  
GPU 6           116.629           0.056        0.006        0.015        2301610499                  16551274058                 
GPU 7           122.111           0.055        0.006        0.015        1019662684                  2855605556                  
GPU 0           114.588           0.061        0.007        0.018        2190306962                  14089091430                 
GPU 1           123.968           0.061        0.007        0.018        1098845947                  2858481950                  
GPU 2           118.852           0.060        0.007        0.018        1885474533                  10711378456                 
GPU 3           118.183           0.060        0.007        0.018        1077633467                  2491959441                  
GPU 4           118.604           0.061        0.007        0.018        2289950765                  15248168822                 
GPU 5           120.192           0.061        0.007        0.018        1101148856                  2901128722                  
GPU 6           119.568           0.061        0.007        0.018        2389041838                  16499508983                 
GPU 7           122.722           0.061        0.007        0.018        1106426045                  2985579605                  
GPU 0           115.833           0.060        0.007        0.018        2134547973                  14290770614                 
GPU 1           122.009           0.060        0.007        0.018        1057876860                  2730926529                  
GPU 2           117.573           0.060        0.007        0.018        1789999485                  9612649677                  
GPU 3           119.225           0.060        0.007        0.018        1015362525                  2215602802                  
GPU 4           118.903           0.060        0.007        0.017        2219560595                  15171752529                 
GPU 5           121.562           0.060        0.007        0.018        1035239193                  2860290687                  
GPU 6           119.325           0.059        0.007        0.017        2436498761                  17777628253                 
GPU 7           123.648           0.060        0.007        0.018        1038415865                  2968716633                  
GPU 0           113.953           0.056        0.006        0.015        2059302499                  14362246803                 
GPU 1           119.503           0.056        0.006        0.015        918871392                   2603138680                  
GPU 2           116.774           0.057        0.006        0.015        1802803389                  11581847018                 
GPU 3           117.591           0.056        0.006        0.016        934477559                   2269859158                  
GPU 4           114.814           0.056        0.006        0.015        2141586520                  15419057547                 
GPU 5           118.072           0.056        0.006        0.015        930073257                   2187606176                  
GPU 6           117.729           0.057        0.006        0.015        2226539956                  16497858675                 
GPU 7           122.235           0.056        0.006        0.016        945604449                   2600441579                  
GPU 0           115.687           0.058        0.007        0.017        2084594601                  14335525633                 
GPU 1           119.778           0.058        0.006        0.017        973082946                   2603371515                  
GPU 2           116.934           0.058        0.006        0.016        1869155585                  11657856151                 
