#Entity         POWER             SMACT        TENSO        DRAMA        PCITX                       PCIRX                       
ID               W                                                                                                               
GPU 3           161.115           0.160        0.011        0.071        1940466637                  4293368856                  
GPU 4           159.028           0.161        0.011        0.071        2677050694                  10192665114                 
GPU 5           166.021           0.174        0.012        0.079        2186048020                  5745211968                  
GPU 6           165.230           0.178        0.012        0.080        2806432102                  9650176906                  
GPU 7           160.576           0.180        0.013        0.082        2195639924                  5296047475                  
GPU 0           186.801           0.238        0.018        0.115        3101042789                  8274438585                  
GPU 1           191.966           0.235        0.017        0.113        2674305386                  6705029081                  
GPU 2           181.196           0.237        0.017        0.115        3087494430                  8033340106                  
GPU 3           180.771           0.238        0.018        0.116        2595275518                  5765210604                  
GPU 4           185.224           0.237        0.017        0.114        3047129911                  7499183033                  
GPU 5           189.381           0.236        0.017        0.115        2712311495                  7182523752                  
GPU 6           190.545           0.235        0.017        0.114        3110880828                  8487692718                  
GPU 7           186.155           0.238        0.017        0.115        2665441765                  6638910002                  
GPU 0           177.172           0.239        0.017        0.115        3115525547                  8046486820                  
GPU 1           188.144           0.237        0.017        0.113        2691662500                  6826549642                  
GPU 2           172.540           0.212        0.015        0.102        2770724794                  7488916654                  
GPU 3           170.570           0.240        0.017        0.116        2630777834                  5823193864                  
GPU 4           183.712           0.239        0.017        0.115        3080974354                  7772586557                  
GPU 5           184.195           0.232        0.017        0.112        2607590644                  6791174379                  
GPU 6           182.604           0.223        0.016        0.107        2926614425                  8047925564                  
GPU 7           181.955           0.224        0.016        0.108        2495774558                  6179306226                  
#Entity         POWER             SMACT        TENSO        DRAMA        PCITX                       PCIRX                       
ID               W                                                                                                               
GPU 0           134.119           0.104        0.026        0.030        2744954180                  10786403452                 
GPU 1           138.891           0.099        0.025        0.028        1866231628                  3744856875                  
GPU 2           136.678           0.100        0.026        0.027        2702062939                  10240669212                 
GPU 3           135.024           0.104        0.026        0.031        1835632103                  3169539389                  
GPU 4           134.637           0.102        0.026        0.030        2671789120                  10015428626                 
GPU 5           142.478           0.098        0.026        0.027        1890193096                  4135846988                  
GPU 6           140.147           0.098        0.026        0.027        2759641400                  10705462676                 
GPU 7           139.480           0.100        0.026        0.027        1918867225                  4111514905                  
GPU 0           112.528           0.051        0.004        0.011        2190283953                  14225493198                 
GPU 1           116.187           0.050        0.004        0.011        1061354087                  2522519460                  
GPU 2           110.646           0.052        0.004        0.012        1952437000                  10985219314                 
GPU 3           113.326           0.051        0.004        0.011        1033598339                  1908257077                  
GPU 4           111.829           0.051        0.004        0.011        2228100519                  14697596351                 
GPU 5           116.744           0.052        0.004        0.012        1095376739                  2941330655                  
GPU 6           114.311           0.051        0.004        0.011        2267840062                  14900100755                 
GPU 7           118.551           0.052        0.004        0.012        1088304539                  2838518276                  
GPU 0           112.528           0.051        0.006        0.011        2249022255                  14225493198                 
GPU 1           117.908           0.055        0.004        0.011        1025441472                  2522519460                  
GPU 2           110.646           0.057        0.004        0.015        1886222782                  10985219314                 
GPU 3           113.326           0.056        0.006        0.011        1033598339                  1663301435                  
GPU 4           111.829           0.051        0.004        0.014        2228100519                  13086222485                 
GPU 5           116.744           0.052        0.004        0.012        1095376739                  2160081952                  
GPU 6           114.311           0.051        0.004        0.015        2302903686                  14900100755                 
GPU 7           118.551           0.056        0.004        0.012        1064063410                  2838518276                  
GPU 0           116.071           0.059        0.007        0.017        2226364788                  14229017762                 
GPU 1           119.552           0.058        0.006        0.017        1008920156                  1545519733                  
GPU 2           116.559           0.059        0.007        0.017        1840018791                  9953503089                  
GPU 3           118.081           0.059        0.006        0.017        1044722047                  2206841469                  
GPU 4           118.915           0.059        0.007        0.017        2094102744                  12771880215                 
GPU 5           122.798           0.059        0.007        0.017        1033928001                  2023719119                  
GPU 6           119.331           0.058        0.006        0.017        2326914129                  15565573034                 
GPU 7           120.872           0.059        0.006        0.017        1039354240                  2064509730                  
GPU 0           116.174           0.058        0.007        0.017        2153883983                  14372942654                 
GPU 1           121.895           0.058        0.006        0.017        927410604                   1433330251                  
GPU 2           115.240           0.059        0.007        0.017        1891843218                  10722302504                 
GPU 3           118.181           0.058        0.007        0.017        954415475                   1780418335                  
GPU 4           117.002           0.059        0.007        0.017        2128573765                  13472848994                 
GPU 5           120.501           0.059        0.007        0.017        997340988                   2051087459                  
GPU 6           120.028           0.058        0.006        0.017        2262940951                  15041836457                 
GPU 7           123.225           0.058        0.007        0.017        1024664354                  2093913983                  
GPU 0           118.482           0.060        0.007        0.018        2119034866                  12936122321                 
GPU 1           121.946           0.060        0.007        0.018        1014889197                  1541194398                  
GPU 2           115.919           0.060        0.007        0.018        1963488416                  11091522251                 
GPU 3           119.678           0.060        0.007        0.018        1079498535                  2349836168                  
GPU 4           117.620           0.060        0.007        0.018        2191596209                  13786820977                 
GPU 5           125.224           0.061        0.007        0.018        1070421688                  2196483081                  
GPU 6           122.699           0.060        0.007        0.018        2252115378                  14435041078                 
GPU 7           124.067           0.060        0.007        0.018        1071715544                  2225551179                  
GPU 0           119.898           0.063        0.008        0.019        2275634483                  14211680486                 
GPU 1           125.725           0.062        0.007        0.019        1064140160                  1613926330                  
GPU 2           116.789           0.062        0.007        0.019        1897709202                  9962096536                  
GPU 3           119.974           0.062        0.007        0.019        1129967708                  2603814100                  
GPU 4           119.100           0.061        0.007        0.019        2144165127                  12817966146                 
GPU 5           123.538           0.062        0.007        0.019        1108837198                  2028516206                  
GPU 6           121.856           0.061        0.007        0.019        2339805363                  15118736824                 
GPU 7           126.283           0.062        0.007        0.019        1091366578                  2182612089                  
GPU 0           117.375           0.062        0.007        0.019        2250596576                  13435217806                 
GPU 1           123.470           0.061        0.007        0.019        1110725732                  1737938055                  
GPU 2           119.638           0.063        0.007        0.019        1956432203                  10191180654                 
GPU 3           120.103           0.062        0.007        0.019        1182027684                  2783607172                  
GPU 4           119.807           0.062        0.007        0.019        2255838650                  13683517858                 
GPU 5           124.483           0.062        0.007        0.019        1087805387                  1891285847                  
GPU 6           123.619           0.063        0.008        0.019        2376008025                  15124855484                 
GPU 7           125.101           0.063        0.008        0.020        1121521348                  2163036750                  
GPU 0           119.471           0.060        0.007        0.018        2156499104                  13897361107                 
GPU 1           123.031           0.061        0.007        0.018        987088660                   1775997353                  
GPU 2           117.937           0.061        0.007        0.018        1803822778                  9594899987                  
GPU 3           119.413           0.060        0.007        0.018        1072812770                  2919770436                  
GPU 4           118.062           0.061        0.007        0.018        2168272939                  13689126334                 
GPU 5           122.394           0.061        0.007        0.019        1043781623                  1934165187                  
GPU 6           122.002           0.061        0.007        0.018        2320139135                  15391066393                 
GPU 7           123.644           0.061        0.007        0.019        1047764029                  2088896615                  
GPU 0           116.410           0.062        0.007        0.019        2097287427                  12550608326                 
GPU 1           123.875           0.061        0.007        0.019        1050095628                  1814108228                  
GPU 2           119.014           0.062        0.007        0.019        1966092054                  10823931522                 
GPU 3           120.127           0.062        0.007        0.019        1104652404                  2596423721                  
GPU 4           118.584           0.062        0.007        0.019        2270597394                  14460409881                 
GPU 5           121.950           0.061        0.007        0.019        1055659561                  1942002554                  
GPU 6           121.792           0.061        0.007        0.019        2297173512                  14809863779                 
GPU 7           123.988           0.062        0.007        0.019        1069628928                  2072205086                  
GPU 0           118.585           0.062        0.007        0.019        2202100894                  13636413287                 
GPU 1           122.281           0.061        0.007        0.019        1058020982                  1881326480                  
GPU 2           116.465           0.061        0.007        0.018        1865011513                  10098216765                 
GPU 3           118.949           0.062        0.007        0.019        1134730606                  2903983693                  
GPU 4           117.250           0.061        0.007        0.018        2152502460                  13328911785                 
GPU 5           123.696           0.061        0.007        0.019        1050204761                  1908660121                  
GPU 6           123.150           0.061        0.007        0.018        2276269608                  14796406255                 
GPU 7           122.443           0.061        0.007        0.018        1061618601                  2181175732                  
GPU 0           117.368           0.061        0.007        0.018        2166311453                  13781877447                 
GPU 1           122.310           0.060        0.007        0.018        1000286533                  1787566832                  
GPU 2           119.695           0.060        0.007        0.018        1926760369                  11008732530                 
GPU 3           118.602           0.060        0.007        0.018        1038296808                  2240247111                  
GPU 4           118.781           0.061        0.007        0.018        2109594238                  13240638926                 
GPU 5           121.792           0.061        0.007        0.018        981184503                   1755015081                  
GPU 6           122.336           0.061        0.007        0.018        2229210832                  14629467376                 
GPU 7           124.223           0.061        0.007        0.019        1032207271                  2133432163                  
GPU 0           117.382           0.060        0.007        0.018        2170499654                  13777093572                 
GPU 1           122.831           0.060        0.007        0.018        1016709653                  1799551803                  
GPU 2           118.738           0.061        0.007        0.018        1811464441                  9785201889                  
GPU 3           117.763           0.060        0.007        0.018        1017664539                  1888896976                  
GPU 4           119.016           0.061        0.007        0.018        2151773473                  13792929387                 
GPU 5           123.637           0.060        0.007        0.018        1012775241                  1870306697                  
GPU 6           123.895           0.060        0.007        0.018        2257107597                  15030401136                 
GPU 7           125.738           0.061        0.007        0.018        1019388333                  2092201612                  
GPU 0           116.424           0.057        0.006        0.016        1996799996                  12915802909                 
GPU 1           121.300           0.057        0.006        0.017        918233985                   1647833031                  
GPU 2           116.591           0.057        0.006        0.016        1802607192                  11058282307                 
GPU 3           117.304           0.057        0.006        0.016        940978278                   2111774239                  
GPU 4           116.641           0.057        0.006        0.016        2119701849                  14381286423                 
GPU 5           121.572           0.057        0.006        0.016        937090801                   1922359891                  
GPU 6           118.222           0.057        0.006        0.016        2100105204                  14229958771                 
GPU 7           121.891           0.057        0.006        0.016        928167402                   1851441823                  
#Entity         POWER             SMACT        TENSO        DRAMA        PCITX                       PCIRX                       
ID               W                                                                                                               
GPU 0           118.955           0.060        0.007        0.018        2133228170                  13562270356                 
GPU 1           125.198           0.060        0.007        0.018        976388099                   1508458253                  
GPU 2           117.480           0.061        0.007        0.019        1807176302                  9518171341                  
GPU 3           120.605           0.060        0.007        0.018        995101656                   1813771859                  
GPU 4           117.077           0.061        0.007        0.018        2154467630                  13743903281                 
GPU 5           121.707           0.060        0.007        0.018        1036131060                  2182988100                  
GPU 6           120.151           0.060        0.007        0.018        2339377162                  15879700923                 
GPU 7           124.547           0.061        0.007        0.018        1035756252                  2146738899                  
GPU 0           118.612           0.064        0.008        0.020        2180928763                  13020523130                 
GPU 1           126.214           0.064        0.008        0.021        1069662002                  1619973191                  
GPU 2           121.484           0.064        0.008        0.020        1898420707                  9897702171                  
GPU 3           121.382           0.064        0.008        0.021        1100390417                  2115162253                  
GPU 4           119.952           0.065        0.008        0.021        2262432215                  13883882559                 
GPU 5           126.328           0.064        0.008        0.020        1120034879                  2293193652                  
GPU 6           124.449           0.064        0.008        0.020        2392569445                  15482463896                 
GPU 7           126.276           0.065        0.008        0.021        1111209697                  2150415142                  
GPU 0           117.245           0.061        0.007        0.019        2113392395                  13364466941                 
GPU 1           124.289           0.061        0.007        0.019        968204643                   1484208515                  
GPU 2           118.091           0.061        0.007        0.018        1830110585                  10102176951                 
GPU 3           118.748           0.061        0.007        0.019        994385576                   1882915164                  
GPU 4           117.623           0.061        0.007        0.019        2169638105                  14087311467                 
GPU 5           124.703           0.061        0.007        0.019        1025375077                  2161001673                  
GPU 6           120.414           0.061        0.007        0.019        2256903358                  15133776771                 
GPU 7           123.367           0.061        0.007        0.019        1019057981                  2146404650                  
GPU 0           118.620           0.062        0.007        0.019        2152645900                  13599569983                 
GPU 1           122.784           0.061        0.007        0.019        989002644                   1520881403                  
GPU 2           118.135           0.061        0.007        0.019        1960308018                  11449006628                 
GPU 3           119.243           0.061        0.007        0.019        1042935002                  2175156224                  
GPU 4           118.718           0.062        0.007        0.019        2163677411                  13703772442                 
GPU 5           123.185           0.062        0.007        0.019        1037303409                  2108553825                  
GPU 6           122.906           0.061        0.007        0.019        2198297299                  14144330199                 
GPU 7           124.189           0.062        0.007        0.019        1034942286                  2077667535                  
GPU 0           118.891           0.063        0.008        0.020        2168082929                  13466647421                 
GPU 1           123.914           0.063        0.008        0.020        1016890148                  1552336267                  
GPU 2           117.445           0.062        0.008        0.019        1882452671                  10108364670                 
GPU 3           119.909           0.062        0.007        0.019        1070140652                  2325422242                  
GPU 4           118.221           0.062        0.008        0.019        2177142379                  13705187176                 
GPU 5           124.264           0.063        0.008        0.020        1063587008                  2103177633                  
GPU 6           123.241           0.062        0.008        0.019        2319878280                  15346120781                 
