#Entity         POWER             SMACT        TENSO        DRAMA        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID               W                                                                                                                                                                       
GPU 0           136.970           0.231        0.017        0.099        1178425554                  13958405757                 10459015978                 4186001                     
GPU 1           149.084           0.115        0.007        0.053        108771670                   1409160806                  3876699639                  3876776156                  
GPU 2           138.999           0.227        0.016        0.097        169914587                   2186575414                  9820755998                  9820756435                  
GPU 3           132.897           0.168        0.011        0.072        6580409398                  1695189697                  3961332                     5895909652                  
GPU 4           139.461           0.231        0.016        0.098        1084595501                  12778134585                 9551099228                  4559854                     
GPU 5           153.981           0.219        0.015        0.093        191491642                   2522612846                  8177379900                  8177506216                  
GPU 6           151.568           0.225        0.016        0.095        170376871                   2231914642                  9069266098                  9069382433                  
GPU 7           142.678           0.150        0.010        0.063        5681180076                  1724570806                  3619190                     5072465757                  
GPU 0           136.970           0.231        0.003        0.099        150692848                   13958405757                 10459015978                 4186001                     
GPU 1           103.139           0.000        0.007        0.053        3837324                     1409160806                  3876699639                  3876776156                  
GPU 2           138.999           0.021        0.001        0.009        21014901                    2186575414                  9820755998                  9820756435                  
GPU 3           100.975           0.000        0.000        0.072        6580409398                  2425155                     3961332                     5895909652                  
GPU 4           139.461           0.231        0.016        0.008        56636241                    629786737                   9551099228                  498561                      
GPU 5           153.981           0.219        0.015        0.093        191491642                   49079310                    8177379900                  8177506216                  
GPU 6           151.568           0.225        0.016        0.005        14283783                    148590726                   9069266098                  9069382433                  
GPU 7           142.678           0.000        0.010        0.063        1484197                     1724570806                  3619190                     5072465757                  
GPU 0           100.255           0.000        0.000        0.000        495839                      285134                      0                           0                           
GPU 1           102.916           0.000        0.000        0.000        494270                      287232                      0                           0                           
GPU 2           102.323           0.000        0.000        0.000        497949                      288810                      0                           0                           
GPU 3           100.836           0.000        0.000        0.000        528333                      308194                      0                           0                           
GPU 4           99.917            0.000        0.000        0.000        1374888                     1046760                     0                           0                           
GPU 5           104.516           0.000        0.000        0.000        2050476                     1635873                     0                           0                           
GPU 6           104.794           0.000        0.000        0.000        2520782                     2051117                     0                           0                           
GPU 7           105.177           0.000        0.000        0.000        2493884                     2022153                     0                           0                           
GPU 0           100.034           0.000        0.000        0.000        4066645                     3380572                     0                           0                           
GPU 1           102.852           0.000        0.000        0.000        4033426                     3352540                     0                           0                           
GPU 2           102.178           0.000        0.000        0.000        4009332                     3331064                     0                           0                           
GPU 3           100.788           0.000        0.000        0.000        3991471                     3309630                     0                           0                           
GPU 4           99.716            0.000        0.000        0.000        4330021                     3559086                     0                           0                           
GPU 5           104.340           0.000        0.000        0.000        4273894                     3493963                     0                           0                           
GPU 6           104.587           0.000        0.000        0.000        4022880                     3301120                     0                           0                           
GPU 7           105.095           0.000        0.000        0.000        4132537                     3382548                     0                           0                           
GPU 0           100.034           0.000        0.000        0.000        8168578                     3380572                     0                           0                           
GPU 1           102.742           0.000        0.000        0.000        6358757                     3352540                     0                           0                           
GPU 2           102.178           0.000        0.000        0.000        6634941                     3331064                     0                           0                           
GPU 3           100.788           0.000        0.000        0.000        3991471                     4423825                     0                           0                           
GPU 4           99.716            0.000        0.000        0.000        4330021                     4943051                     0                           0                           
GPU 5           104.340           0.000        0.000        0.000        4273894                     4535262                     0                           0                           
GPU 6           104.587           0.000        0.000        0.000        4619430                     3301120                     0                           0                           
GPU 7           105.095           0.000        0.000        0.000        5031886                     3382548                     0                           0                           
GPU 0           99.933            0.000        0.000        0.000        5065019                     6829907                     0                           0                           
GPU 1           102.532           0.000        0.000        0.000        8222657                     5268926                     0                           0                           
GPU 2           102.030           0.000        0.000        0.000        5073721                     5534649                     0                           0                           
GPU 3           100.477           0.000        0.000        0.000        5360481                     5530651                     0                           0                           
GPU 4           99.580            0.000        0.000        0.000        5617734                     4724033                     0                           0                           
GPU 5           104.049           0.000        0.000        0.000        5411195                     5705924                     0                           0                           
GPU 6           104.449           0.000        0.000        0.000        6360691                     5329547                     0                           0                           
GPU 7           104.714           0.000        0.000        0.000        6124370                     4225623                     0                           0                           
GPU 0           99.812            0.000        0.000        0.000        4477041                     4148925                     0                           0                           
GPU 1           102.453           0.000        0.000        0.000        4752996                     6878246                     0                           0                           
GPU 2           101.933           0.000        0.000        0.000        4139129                     4203730                     0                           0                           
GPU 3           100.221           0.000        0.000        0.000        7792582                     6513124                     0                           0                           
GPU 4           99.616            0.000        0.000        0.000        3421171                     2801093                     0                           0                           
GPU 5           104.003           0.000        0.000        0.000        6785679                     3604449                     0                           0                           
GPU 6           104.343           0.000        0.000        0.000        6736909                     5715018                     0                           0                           
GPU 7           104.632           0.000        0.000        0.000        6010747                     5102768                     0                           0                           
GPU 0           99.689            0.000        0.000        0.000        4094373                     3661604                     0                           0                           
GPU 1           102.384           0.000        0.000        0.000        3843027                     301916                      0                           0                           
GPU 2           101.659           0.000        0.000        0.000        3934489                     3388562                     0                           0                           
GPU 3           100.190           0.000        0.000        0.000        2800463                     2268988                     0                           0                           
GPU 4           99.454            0.000        0.000        0.000        3790679                     3113997                     0                           0                           
GPU 5           103.988           0.000        0.000        0.000        4319631                     3569396                     0                           0                           
GPU 6           104.132           0.000        0.000        0.000        3936368                     3210420                     0                           0                           
GPU 7           104.667           0.000        0.000        0.000        4144924                     5081985                     0                           0                           
GPU 0           99.576            0.000        0.000        0.000        276363                      3394682                     0                           0                           
GPU 1           102.367           0.000        0.000        0.000        504243                      3429245                     0                           0                           
GPU 2           101.620           0.000        0.000        0.000        3433171                     3281070                     0                           0                           
GPU 3           100.261           0.000        0.000        0.000        1684270                     1323189                     0                           0                           
GPU 4           99.398            0.000        0.000        0.000        3878001                     3196114                     0                           0                           
GPU 5           103.703           0.000        0.000        0.000        4345124                     320681                      0                           0                           
GPU 6           104.006           0.000        0.000        0.000        498468                      289332                      0                           0                           
GPU 7           104.598           0.000        0.000        0.000        458624                      3385441                     0                           0                           
GPU 0           99.440            0.000        0.000        0.000        4568227                     87197                       0                           0                           
GPU 1           102.281           0.000        0.000        0.000        4106394                     3387099                     0                           0                           
GPU 2           101.572           0.000        0.000        0.000        1058280                     2821347                     0                           0                           
GPU 3           100.240           0.000        0.000        0.000        3787485                     3126012                     0                           0                           
GPU 4           99.402            0.000        0.000        0.000        1038369                     754272                      0                           0                           
GPU 5           103.649           0.000        0.000        0.000        558929                      3448369                     0                           0                           
GPU 6           103.979           0.000        0.000        0.000        4059055                     3371363                     0                           0                           
GPU 7           104.499           0.000        0.000        0.000        4120900                     247919                      0                           0                           
GPU 0           99.428            0.000        0.000        0.000        6238531                     3820444                     0                           0                           
GPU 1           102.243           0.000        0.000        0.000        4165471                     3504273                     0                           0                           
GPU 2           101.524           0.000        0.000        0.000        7977586                     768419                      0                           0                           
GPU 3           100.204           0.000        0.000        0.000        2036741                     1584608                     0                           0                           
GPU 4           99.228            0.000        0.000        0.000        7424376                     6238782                     0                           0                           
GPU 5           103.531           0.000        0.000        0.000        4161223                     4543936                     0                           0                           
GPU 6           103.930           0.000        0.000        0.000        3751875                     3095113                     0                           0                           
GPU 7           104.384           0.000        0.000        0.000        3908481                     3408574                     0                           0                           
GPU 0           99.361            0.000        0.000        0.000        537534                      5168942                     0                           0                           
GPU 1           102.102           0.000        0.000        0.000        4199781                     2845143                     0                           0                           
GPU 2           101.529           0.000        0.000        0.000        530979                      6687009                     0                           0                           
GPU 3           100.193           0.000        0.000        0.000        6965407                     5877408                     0                           0                           
GPU 4           99.208            0.000        0.000        0.000        274657                      87009                       0                           0                           
GPU 5           103.453           0.000        0.000        0.000        5448967                     1277897                     0                           0                           
GPU 6           103.897           0.000        0.000        0.000        4243552                     3510260                     0                           0                           
GPU 7           104.254           0.000        0.000        0.000        4259648                     3222365                     0                           0                           
GPU 0           99.354            0.000        0.000        0.000        4032024                     331955                      0                           0                           
GPU 1           101.979           0.000        0.000        0.000        3465061                     330804                      0                           0                           
GPU 2           101.395           0.000        0.000        0.000        4003869                     323410                      0                           0                           
GPU 3           100.058           0.000        0.000        0.000        669465                      419309                      0                           0                           
GPU 4           99.126            0.000        0.000        0.000        4389315                     3617320                     0                           0                           
GPU 5           103.429           0.000        0.000        0.000        1649525                     3508359                     0                           0                           
GPU 6           103.793           0.000        0.000        0.000        2107059                     1644859                     0                           0                           
GPU 7           104.163           0.000        0.000        0.000        1921507                     1472840                     0                           0                           
GPU 0           99.386            0.000        0.000        0.000        291417                      3341763                     0                           0                           
GPU 1           101.892           0.000        0.000        0.000        534062                      3144915                     0                           0                           
GPU 2           101.335           0.000        0.000        0.000        1087614                     3325638                     0                           0                           
GPU 3           100.012           0.000        0.000        0.000        3925892                     3270121                     0                           0                           
GPU 4           99.061            0.000        0.000        0.000        1689197                     1277977                     0                           0                           
GPU 5           103.329           0.000        0.000        0.000        4286131                     88056                       0                           0                           
GPU 6           103.662           0.000        0.000        0.000        2312354                     1850232                     0                           0                           
GPU 7           104.234           0.000        0.000        0.000        2688854                     2155276                     0                           0                           
GPU 0           99.311            0.000        0.000        0.000        4130522                     106398                      0                           0                           
GPU 1           101.978           0.000        0.000        0.000        3805872                     294575                      0                           0                           
GPU 2           101.263           0.000        0.000        0.000        3381441                     788410                      0                           0                           
GPU 3           99.989            0.000        0.000        0.000        3189383                     2593612                     0                           0                           
GPU 4           99.090            0.000        0.000        0.000        3018279                     2448748                     0                           0                           
GPU 5           103.298           0.000        0.000        0.000        276750                      3563213                     0                           0                           
GPU 6           103.560           0.000        0.000        0.000        3942718                     3225241                     0                           0                           
GPU 7           104.171           0.000        0.000        0.000        4159195                     3389206                     0                           0                           
#Entity         POWER             SMACT        TENSO        DRAMA        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID               W                                                                                                                                                                       
GPU 0           99.317            0.000        0.000        0.000        3508843                     3443412                     0                           0                           
GPU 1           101.920           0.000        0.000        0.000        497947                      3384890                     0                           0                           
GPU 2           101.161           0.000        0.000        0.000        3446095                     2789718                     0                           0                           
GPU 3           99.801            0.000        0.000        0.000        537530                      323799                      0                           0                           
GPU 4           99.070            0.000        0.000        0.000        3784912                     3070491                     0                           0                           
GPU 5           103.062           0.000        0.000        0.000        4337915                     909276                      0                           0                           
GPU 6           103.488           0.000        0.000        0.000        507372                      294045                      0                           0                           
GPU 7           104.076           0.000        0.000        0.000        432185                      223002                      0                           0                           
GPU 0           166.092           0.021        0.002        0.007        294524148                   589078579                   0                           0                           
GPU 1           111.601           0.000        0.027        0.053        4056312                     239068685                   0                           0                           
GPU 2           206.773           0.059        0.008        0.021        30143000                    361923904                   0                           0                           
GPU 3           166.579           0.000        0.020        0.040        4619212837                  3262898                     0                           0                           
GPU 4           199.304           0.076        0.013        0.027        2656752247                  2946606371                  0                           4386176859                  
GPU 5           214.144           0.000        0.000        0.000        1257264                     264518440                   0                           0                           
GPU 6           105.192           0.148        0.000        0.000        4214716                     3470418                     0                           0                           
GPU 7           179.241           0.000        0.000        0.000        4822894                     3991320                     0                           0                           
GPU 0           213.736           0.186        0.045        0.071        8502156814                  8291420562                  14576453540                 14234221463                 
GPU 1           231.954           0.140        0.060        0.073        22118677                    44652290                    19003696787                 19003696311                 
GPU 2           237.466           0.210        0.050        0.077        10601793                    49320066                    5683412003                  5684561583                  
GPU 3           210.206           0.114        0.056        0.071        9084172644                  4216142596                  7177917762                  7480181005                  
GPU 4           226.700           0.206        0.052        0.073        8939488287                  8615654333                  4606803452                  14986144681                 
GPU 5           240.141           0.202        0.047        0.076        8393565                     47677550                    30446347780                 30447676364                 
GPU 6           237.531           0.207        0.064        0.058        25368852                    272556977                   21126941470                 21126941470                 
GPU 7           216.461           0.163        0.069        0.062        7460772243                  6653326513                  11739205459                 12155477304                 
GPU 0           194.310           0.213        0.065        0.073        7939640488                  8646808127                  14330914967                 13157490509                 
GPU 1           233.272           0.209        0.037        0.083        9938389                     959900071                   29420037378                 29420036795                 
GPU 2           186.800           0.224        0.061        0.076        23304613                    275498545                   30660903596                 30671912123                 
GPU 3           190.385           0.210        0.042        0.078        10059418934                 8106531689                  14733266067                 15029810946                 
GPU 4           179.898           0.224        0.055        0.075        6271640619                  9650659150                  15323025619                 9954514227                  
GPU 5           194.614           0.222        0.061        0.076        28557743                    320883544                   25902168179                 25900142045                 
GPU 6           194.079           0.211        0.033        0.074        10864564                    48276472                    29191944570                 29192497203                 
GPU 7           189.084           0.213        0.021        0.071        8840054170                  7971180027                  14478401659                 14702113158                 
GPU 0           177.709           0.210        0.017        0.084        1062270280                  12404868535                 9918472544                  3582711                     
GPU 1           196.152           0.218        0.018        0.091        76848583                    1585835404                  17177538602                 17177537649                 
GPU 2           185.597           0.212        0.017        0.087        119707816                   1512176831                  25547767912                 25535725134                 
GPU 3           173.435           0.222        0.017        0.087        10978490260                 4437208614                  6739214162                  12221716987                 
GPU 4           178.233           0.217        0.017        0.087        1076203910                  12620046048                 13280615449                 3578852                     
GPU 5           192.847           0.217        0.017        0.087        130611188                   1640466174                  9942663271                  9942663795                  
GPU 6           194.358           0.211        0.017        0.082        76748830                    961054993                   15910444190                 15909884797                 
GPU 7           178.369           0.211        0.017        0.082        10777301572                 2319718998                  1935110555                  10644411042                 
GPU 0           178.611           0.214        0.018        0.087        1062352194                  12455543548                 9932429114                  3566183                     
GPU 1           197.772           0.216        0.018        0.092        123789814                   1565556396                  9888196082                  9888085479                  
GPU 2           186.141           0.215        0.018        0.090        115692677                   1498472174                  9919298328                  9919298328                  
GPU 3           176.696           0.217        0.018        0.090        10907318726                 1414031932                  3568684                     9934076930                  
GPU 4           177.853           0.221        0.018        0.090        1062282034                  12474119077                 9910076094                  3552836                     
GPU 5           193.542           0.220        0.018        0.090        124884842                   1615140898                  9888026542                  9888026066                  
GPU 6           194.041           0.214        0.017        0.087        111630033                   1386205216                  9908696286                  9908827323                  
GPU 7           180.555           0.216        0.017        0.087        10982992140                 1377719905                  3566141                     9941069527                  
GPU 0           177.973           0.214        0.018        0.087        1062881546                  12413448803                 9876347720                  3557812                     
GPU 1           197.259           0.218        0.018        0.092        124339975                   1502300754                  9901415084                  9901416657                  
GPU 2           183.324           0.215        0.018        0.089        112574367                   1442761756                  9895271655                  9895215748                  
GPU 3           174.403           0.221        0.018        0.090        10968442810                 1487468551                  3565282                     9864113347                  
GPU 4           176.149           0.220        0.018        0.089        1070692856                  12563309496                 9885476787                  3570247                     
GPU 5           191.347           0.220        0.018        0.090        126492500                   1587409253                  9903676779                  9903679109                  
GPU 6           192.593           0.214        0.017        0.089        114365948                   1422350813                  9901619247                  9901502891                  
GPU 7           177.599           0.216        0.016        0.087        10906644580                 1415470240                  3557396                     9866947168                  
GPU 0           175.160           0.207        0.017        0.084        1099726169                  12839298945                 9626285679                  3463149                     
GPU 1           195.167           0.218        0.018        0.087        115410566                   1417516357                  9929899585                  9929887006                  
GPU 2           187.079           0.207        0.017        0.085        108518978                   1369047199                  9938835459                  9938902549                  
GPU 3           172.284           0.221        0.017        0.086        10651366496                 1432829416                  3564960                     9926887330                  
GPU 4           179.161           0.211        0.017        0.085        1037989936                  12164791805                 9935482469                  3465544                     
GPU 5           194.442           0.214        0.017        0.087        115155978                   1476670703                  9661160707                  9661159754                  
GPU 6           193.831           0.205        0.016        0.089        108991606                   1376321325                  9939963646                  9940080528                  
GPU 7           177.013           0.209        0.017        0.084        10648847055                 1310374368                  3470571                     9642153430                  
GPU 0           174.623           0.209        0.019        0.085        1521481907                  11834800687                 10026419301                 937911558                   
GPU 1           197.287           0.209        0.027        0.069        113183480                   496640421                   9641546412                  9641536979                  
GPU 2           193.544           0.194        0.021        0.076        74729268                    959030594                   9628335465                  9628201817                  
GPU 3           174.664           0.213        0.023        0.069        7960298026                  1294440711                  3470941                     9642782459                  
GPU 4           183.945           0.194        0.022        0.075        2817365149                  9703577281                  9632750516                  3631556272                  
GPU 5           197.838           0.205        0.019        0.082        105763246                   1334238214                  10654813474                 10654812891                 
GPU 6           196.433           0.177        0.027        0.084        102874182                   1265635982                  9631834221                  9631700054                  
GPU 7           179.130           0.215        0.028        0.087        10994543638                 1459315088                  3583681                     9949307784                  
GPU 0           180.353           0.165        0.030        0.061        5834127303                  6489005835                  10645063806                 9650628546                  
GPU 1           205.687           0.181        0.027        0.076        40209871                    762932146                   17216796322                 17217501491                 
GPU 2           189.002           0.184        0.031        0.069        27641566                    286694716                   13043585282                 13046314888                 
GPU 3           181.095           0.187        0.030        0.071        8838860547                  3405455570                  5127946447                  9572085822                  
GPU 4           181.207           0.185        0.031        0.067        5753612709                  7887036853                  9672694193                  9264749840                  
GPU 5           196.402           0.176        0.032        0.065        14274100                    123167974                   21700960539                 21700961063                 
GPU 6           195.749           0.192        0.026        0.069        31920339                    385656458                   17644765404                 17644877220                 
GPU 7           183.517           0.168        0.022        0.062        7110981445                  5034999092                  8740987761                  10473237985                 
GPU 0           175.164           0.206        0.019        0.079        2335842993                  11876460989                 10842032726                 2419367479                  
GPU 1           196.402           0.197        0.015        0.086        64213820                    1449307313                  18143685693                 18142830774                 
GPU 2           182.402           0.211        0.017        0.082        100687752                   1307183976                  20549387028                 20546791455                 
GPU 3           170.142           0.193        0.014        0.083        11038653133                 5212948888                  8597660814                  11969530697                 
GPU 4           175.077           0.216        0.016        0.082        1487074649                  12591828157                 11509086541                 760356244                   
GPU 5           187.741           0.214        0.019        0.082        103940282                   1320904093                  12997995421                 12997995945                 
GPU 6           189.536           0.211        0.014        0.075        67449087                    781973872                   17613163687                 17613003176                 
GPU 7           174.127           0.196        0.014        0.074        9663391883                  3518080314                  3598697                     11057644352                 
GPU 0           175.287           0.215        0.015        0.084        1065441902                  12422980537                 10028211422                 3609246                     
GPU 1           194.928           0.216        0.015        0.088        115479673                   1553487232                  10013446531                 10013442164                 
GPU 2           183.631           0.216        0.015        0.086        118115166                   1483288116                  11670404068                 11670280378                 
GPU 3           171.276           0.218        0.015        0.086        11116550147                 1330775588                  3606033                     9992375990                  
GPU 4           176.153           0.221        0.015        0.086        1086775107                  12723807264                 10317578953                 3609709                     
GPU 5           189.767           0.220        0.015        0.086        126911248                   1586109672                  10007721859                 10000652482                 
GPU 6           191.084           0.214        0.014        0.083        100838143                   1262212999                  10026008659                 10026116094                 
GPU 7           175.760           0.215        0.014        0.082        11057207794                 1399623789                  3608481                     10006352549                 
GPU 0           176.392           0.216        0.015        0.085        1063428887                  12445865434                 10018063058                 3604067                     
GPU 1           195.170           0.219        0.016        0.091        120119768                   1524215888                  10036247023                 10036259835                 
GPU 2           185.272           0.218        0.015        0.088        116115157                   1466797382                  10032151008                 10032158346                 
GPU 3           172.615           0.222        0.015        0.089        11021138030                 1366460001                  3620404                     10069348009                 
GPU 4           177.516           0.223        0.015        0.087        1082795641                  12696559747                 10029612969                 3618352                     
GPU 5           192.292           0.222        0.015        0.087        126526798                   1616006250                  9998087090                  10004405449                 
