#Entity         POWER             SMACT        TENSO        DRAMA        PCITX                       PCIRX                       
ID               W                                                                                                               
GPU 5           72.656            0.000        0.000        0.000        507801                      299754                      
GPU 6           72.415            0.000        0.000        0.000        501556                      302401                      
GPU 7           72.243            0.000        0.000        0.000        498928                      302396                      
GPU 0           96.801            0.000        0.000        0.000        491641                      275696                      
GPU 1           71.045            0.000        0.000        0.000        507787                      300270                      
GPU 2           70.101            0.000        0.000        0.000        498915                      302389                      
GPU 3           69.956            0.000        0.000        0.000        515662                      307615                      
GPU 4           71.531            0.000        0.000        0.000        491589                      294010                      
GPU 5           72.759            0.000        0.000        0.000        509912                      300287                      
GPU 6           72.430            0.000        0.000        0.000        499470                      300311                      
GPU 7           72.297            0.000        0.000        0.000        417500                      229441                      
GPU 0           96.890            0.000        0.000        0.000        418362                      202510                      
GPU 1           71.165            0.000        0.000        0.000        209615                      18865                       
GPU 2           70.157            0.000        0.000        0.000        231646                      49264                       
GPU 3           69.947            0.000        0.000        0.000        210146                      18866                       
GPU 4           71.524            0.000        0.000        0.000        198621                      17818                       
GPU 5           72.708            0.000        0.000        0.000        210141                      19389                       
GPU 6           72.417            0.000        0.000        0.000        232694                      53456                       
GPU 7           72.243            0.000        0.000        0.000        263616                      79661                       
#Entity         POWER             SMACT        TENSO        DRAMA        PCITX                       PCIRX                       
ID               W                                                                                                               
GPU 0           96.857            0.000        0.000        0.000        270217                      75125                       
GPU 1           71.030            0.000        0.000        0.000        516166                      304459                      
GPU 2           70.050            0.000        0.000        0.000        462771                      264141                      
GPU 3           69.961            0.000        0.000        0.000        510952                      297138                      
GPU 4           71.541            0.000        0.000        0.000        504172                      299254                      
GPU 5           72.678            0.000        0.000        0.000        515669                      298711                      
GPU 6           72.495            0.000        0.000        0.000        475878                      268861                      
GPU 7           72.220            0.000        0.000        0.000        508876                      308156                      
GPU 0           96.835            0.000        0.000        0.000        497934                      282512                      
GPU 1           71.161            0.000        0.000        0.000        519183                      314338                      
GPU 2           70.085            0.000        0.000        0.000        499437                      302911                      
GPU 3           69.979            0.000        0.000        0.000        508327                      300803                      
GPU 4           71.568            0.000        0.000        0.000        491576                      294526                      
GPU 5           72.744            0.000        0.000        0.000        504664                      296091                      
GPU 6           72.541            0.000        0.000        0.000        500521                      303457                      
GPU 7           72.250            0.000        0.000        0.000        495778                      298724                      
GPU 0           96.869            0.000        0.000        0.000        484830                      268884                      
GPU 1           71.032            0.000        0.000        0.000        510406                      300269                      
GPU 2           70.146            0.000        0.000        0.000        503125                      303971                      
GPU 3           70.006            0.000        0.000        0.000        524056                      316006                      
GPU 4           71.550            0.000        0.000        0.000        512031                      313927                      
GPU 5           72.715            0.000        0.000        0.000        513043                      306044                      
GPU 6           72.437            0.000        0.000        0.000        499962                      304484                      
GPU 7           72.235            0.000        0.000        0.000        498404                      301348                      
GPU 0           96.896            0.000        0.000        0.000        484823                      268880                      
GPU 1           71.042            0.000        0.000        0.000        513021                      302887                      
GPU 2           70.091            0.000        0.000        0.000        502589                      304488                      
GPU 3           69.927            0.000        0.000        0.000        510944                      301326                      
GPU 4           71.592            0.000        0.000        0.000        499978                      303446                      
GPU 5           72.757            0.000        0.000        0.000        510957                      302905                      
GPU 6           72.513            0.000        0.000        0.000        503662                      306075                      
GPU 7           72.258            0.000        0.000        0.000        488949                      295046                      
GPU 0           96.906            0.000        0.000        0.000        483798                      267321                      
GPU 1           71.107            0.000        0.000        0.000        512512                      302896                      
GPU 2           70.120            0.000        0.000        0.000        502601                      303972                      
GPU 3           70.005            0.000        0.000        0.000        515145                      308143                      
