#Entity         POWER             SMACT        TENSO        DRAMA        PCITX                       PCIRX                       
ID               W                                                                                                               
GPU 4           71.329            0.000        0.000        0.000        495771                      298196                      
GPU 5           72.358            0.000        0.000        0.000        506126                      302313                      
GPU 6           72.181            0.000        0.000        0.000        498416                      299783                      
GPU 7           71.920            0.000        0.000        0.000        496313                      294014                      
GPU 0           237.124           0.381        0.018        0.236        8445335                     56264328                    
GPU 1           70.896            0.000        0.000        0.000        509386                      301858                      
GPU 2           69.897            0.000        0.000        0.000        496309                      299777                      
GPU 3           69.691            0.000        0.000        0.000        508835                      301318                      
GPU 4           71.233            0.000        0.000        0.000        482385                      292783                      
GPU 5           72.366            0.000        0.000        0.000        510410                      300272                      
GPU 6           72.110            0.000        0.000        0.000        495265                      297159                      
GPU 7           71.885            0.000        0.000        0.000        502081                      303449                      
GPU 0           267.008           0.457        0.023        0.286        11272091                    71814770                    
GPU 1           70.902            0.000        0.000        0.000        517761                      312857                      
GPU 2           69.898            0.000        0.000        0.000        495263                      301350                      
GPU 3           69.695            0.000        0.000        0.000        507249                      301834                      
GPU 4           71.294            0.000        0.000        0.000        489494                      295059                      
GPU 5           72.301            0.000        0.000        0.000        516187                      308140                      
GPU 6           72.144            0.000        0.000        0.000        490040                      295596                      
GPU 7           71.864            0.000        0.000        0.000        502065                      305536                      
#Entity         POWER             SMACT        TENSO        DRAMA        PCITX                       PCIRX                       
ID               W                                                                                                               
GPU 0           273.062           0.487        0.024        0.302        12893184                    81489495                    
GPU 1           70.865            0.000        0.000        0.000        507254                      308649                      
GPU 2           69.901            0.000        0.000        0.000        499971                      306062                      
GPU 3           69.725            0.000        0.000        0.000        510932                      307607                      
GPU 4           71.298            0.000        0.000        0.000        492102                      298196                      
GPU 5           72.312            0.000        0.000        0.000        508284                      309686                      
GPU 6           72.169            0.000        0.000        0.000        492129                      298736                      
GPU 7           71.894            0.000        0.000        0.000        500504                      305019                      
GPU 0           270.881           0.479        0.024        0.301        12487792                    78853526                    
GPU 1           70.849            0.000        0.000        0.000        503625                      298716                      
GPU 2           69.930            0.000        0.000        0.000        497356                      303445                      
GPU 3           69.772            0.000        0.000        0.000        519321                      314422                      
GPU 4           71.298            0.000        0.000        0.000        493154                      298722                      
GPU 5           72.364            0.000        0.000        0.000        509364                      303418                      
GPU 6           72.088            0.000        0.000        0.000        501558                      306071                      
GPU 7           71.859            0.000        0.000        0.000        500492                      303963                      
GPU 0           271.781           0.487        0.023        0.299        13037235                    82639733                    
GPU 1           70.834            0.000        0.000        0.000        465876                      262546                      
GPU 2           69.999            0.000        0.000        0.000        499968                      306584                      
GPU 3           69.691            0.000        0.000        0.000        462191                      258869                      
GPU 4           71.300            0.000        0.000        0.000        436546                      244738                      
GPU 5           72.359            0.000        0.000        0.000        506233                      298709                      
GPU 6           72.194            0.000        0.000        0.000        244231                      68133                       
GPU 7           71.891            0.000        0.000        0.000        501030                      305544                      
GPU 0           272.111           0.483        0.023        0.297        12665970                    81281725                    
GPU 1           70.841            0.000        0.000        0.000        257314                      59743                       
GPU 2           69.918            0.000        0.000        0.000        198104                      13102                       
GPU 3           69.732            0.000        0.000        0.000        257822                      59215                       
GPU 4           71.308            0.000        0.000        0.000        291105                      109581                      
GPU 5           72.376            0.000        0.000        0.000        208567                      14673                       
GPU 6           72.123            0.000        0.000        0.000        446006                      243704                      
GPU 7           71.857            0.000        0.000        0.000        198628                      20963                       
GPU 0           275.684           0.491        0.024        0.304        13025968                    82625900                    
GPU 1           70.874            0.000        0.000        0.000        511995                      306568                      
GPU 2           69.997            0.000        0.000        0.000        497361                      303972                      
GPU 3           69.788            0.000        0.000        0.000        519306                      312841                      
GPU 4           71.349            0.000        0.000        0.000        448617                      247892                      
GPU 5           72.258            0.000        0.000        0.000        502036                      298182                      
GPU 6           72.132            0.000        0.000        0.000        491609                      298215                      
GPU 7           71.894            0.000        0.000        0.000        503119                      299775                      
GPU 0           275.660           0.485        0.024        0.302        12822307                    80710784                    
GPU 1           70.898            0.000        0.000        0.000        508340                      304480                      
GPU 2           69.910            0.000        0.000        0.000        495779                      301870                      
GPU 3           69.653            0.000        0.000        0.000        506717                      302353                      
GPU 4           71.343            0.000        0.000        0.000        523458                      329563                      
GPU 5           72.365            0.000        0.000        0.000        510949                      308665                      
GPU 6           72.116            0.000        0.000        0.000        494227                      300310                      
GPU 7           71.844            0.000        0.000        0.000        496311                      300826                      
GPU 0           278.268           0.494        0.024        0.307        13114040                    82419731                    
GPU 1           70.847            0.000        0.000        0.000        510403                      306556                      
GPU 2           70.073            0.000        0.000        0.000        496837                      302400                      
GPU 3           69.814            0.000        0.000        0.000        507261                      302889                      
GPU 4           71.268            0.000        0.000        0.000        504168                      308685                      
GPU 5           72.302            0.000        0.000        0.000        502558                      297132                      
GPU 6           72.163            0.000        0.000        0.000        496838                      302400                      
GPU 7           71.842            0.000        0.000        0.000        503113                      307633                      
GPU 0           273.633           0.486        0.024        0.300        12818929                    81179391                    
GPU 1           70.974            0.000        0.000        0.000        510943                      307614                      
GPU 2           69.859            0.000        0.000        0.000        494724                      300817                      
GPU 3           69.729            0.000        0.000        0.000        507252                      301836                      
GPU 4           71.336            0.000        0.000        0.000        488435                      295576                      
GPU 5           72.266            0.000        0.000        0.000        502560                      297658                      
GPU 6           72.140            0.000        0.000        0.000        492658                      299263                      
GPU 7           71.895            0.000        0.000        0.000        499983                      303973                      
GPU 0           268.935           0.476        0.022        0.289        12947822                    82529339                    
GPU 1           70.885            0.000        0.000        0.000        520917                      314436                      
GPU 2           69.859            0.000        0.000        0.000        499057                      305823                      
GPU 3           69.768            0.000        0.000        0.000        516168                      311797                      
GPU 4           71.444            0.000        0.000        0.000        494738                      300302                      
GPU 5           72.359            0.000        0.000        0.000        504649                      300274                      
GPU 6           72.133            0.000        0.000        0.000        491598                      298208                      
GPU 7           71.867            0.000        0.000        0.000        503653                      308166                      
GPU 0           274.113           0.484        0.024        0.300        12865754                    81178458                    
GPU 1           70.850            0.000        0.000        0.000        513043                      308140                      
GPU 2           69.865            0.000        0.000        0.000        506387                      311381                      
GPU 3           69.710            0.000        0.000        0.000        511972                      307603                      
GPU 4           71.309            0.000        0.000        0.000        491591                      297680                      
GPU 5           72.270            0.000        0.000        0.000        504658                      299755                      
GPU 6           72.146            0.000        0.000        0.000        494746                      299782                      
GPU 7           71.857            0.000        0.000        0.000        499442                      303963                      
GPU 0           278.506           0.494        0.024        0.307        12798124                    82033347                    
GPU 1           70.837            0.000        0.000        0.000        260458                      71796                       
GPU 2           69.904            0.000        0.000        0.000        434986                      243697                      
GPU 3           69.667            0.000        0.000        0.000        256252                      66028                       
GPU 4           71.291            0.000        0.000        0.000        233212                      55551                       
GPU 5           72.331            0.000        0.000        0.000        256258                      69174                       
GPU 6           72.143            0.000        0.000        0.000        198110                      20440                       
GPU 7           71.831            0.000        0.000        0.000        437090                      245273                      
GPU 0           271.672           0.480        0.023        0.295        12780567                    81385194                    
GPU 1           70.879            0.000        0.000        0.000        463789                      252595                      
GPU 2           69.911            0.000        0.000        0.000        255230                      74944                       
GPU 3           69.725            0.000        0.000        0.000        461675                      250489                      
GPU 4           71.273            0.000        0.000        0.000        462766                      259945                      
GPU 5           72.345            0.000        0.000        0.000        460630                      248394                      
GPU 6           72.199            0.000        0.000        0.000        491082                      289827                      
GPU 7           71.881            0.000        0.000        0.000        264135                      74943                       
GPU 0           276.094           0.488        0.024        0.301        13009732                    82143257                    
GPU 1           70.935            0.000        0.000        0.000        510426                      304998                      
GPU 2           69.862            0.000        0.000        0.000        496823                      307107                      
GPU 3           69.762            0.000        0.000        0.000        509349                      303408                      
GPU 4           71.264            0.000        0.000        0.000        496296                      302389                      
GPU 5           72.278            0.000        0.000        0.000        504131                      298705                      
GPU 6           72.103            0.000        0.000        0.000        493178                      298736                      
GPU 7           71.893            0.000        0.000        0.000        493685                      300823                      
GPU 0           278.112           0.485        0.024        0.300        12891715                    81444720                    
GPU 1           70.797            0.000        0.000        0.000        505191                      301332                      
GPU 2           69.875            0.000        0.000        0.000        514377                      328426                      
GPU 3           69.767            0.000        0.000        0.000        509364                      304989                      
GPU 4           71.341            0.000        0.000        0.000        489494                      295583                      
GPU 5           72.255            0.000        0.000        0.000        509890                      304990                      
GPU 6           72.132            0.000        0.000        0.000        489993                      302380                      
GPU 7           71.916            0.000        0.000        0.000        502076                      307115                      
#Entity         POWER             SMACT        TENSO        DRAMA        PCITX                       PCIRX                       
ID               W                                                                                                               
GPU 0           280.009           0.496        0.024        0.308        13119777                    82589507                    
GPU 1           70.857            0.000        0.000        0.000        510423                      305520                      
GPU 2           69.960            0.000        0.000        0.000        497879                      304492                      
GPU 3           69.692            0.000        0.000        0.000        508302                      302885                      
GPU 4           71.311            0.000        0.000        0.000        492638                      298203                      
GPU 5           72.321            0.000        0.000        0.000        503086                      298707                      
GPU 6           72.145            0.000        0.000        0.000        492654                      299261                      
GPU 7           71.857            0.000        0.000        0.000        498920                      304488                      
GPU 0           277.900           0.485        0.024        0.299        12873019                    81624324                    
GPU 1           70.888            0.000        0.000        0.000        510955                      305525                      
GPU 2           69.919            0.000        0.000        0.000        497295                      307076                      
GPU 3           69.605            0.000        0.000        0.000        511455                      306558                      
GPU 4           71.270            0.000        0.000        0.000        494199                      300293                      
GPU 5           72.273            0.000        0.000        0.000        499944                      295040                      
GPU 6           72.154            0.000        0.000        0.000        496303                      310255                      
GPU 7           71.864            0.000        0.000        0.000        498935                      302925                      
GPU 0           279.721           0.494        0.024        0.306        13035372                    82012163                    
GPU 1           70.876            0.000        0.000        0.000        508864                      304480                      
GPU 2           69.872            0.000        0.000        0.000        496834                      303446                      
GPU 3           69.743            0.000        0.000        0.000        507265                      302892                      
GPU 4           71.223            0.000        0.000        0.000        492118                      298205                      
GPU 5           72.399            0.000        0.000        0.000        504124                      298701                      
GPU 6           72.090            0.000        0.000        0.000        501551                      306067                      
GPU 7           71.856            0.000        0.000        0.000        495254                      300821                      
GPU 0           280.387           0.487        0.024        0.304        12901184                    81265879                    
GPU 1           70.888            0.000        0.000        0.000        509374                      303947                      
GPU 2           69.879            0.000        0.000        0.000        507769                      318600                      
GPU 3           69.672            0.000        0.000        0.000        508828                      303934                      
GPU 4           71.294            0.000        0.000        0.000        490014                      297153                      
GPU 5           72.342            0.000        0.000        0.000        504134                      299231                      
GPU 6           72.145            0.000        0.000        0.000        430287                      243183                      
GPU 7           71.876            0.000        0.000        0.000        502600                      306591                      
GPU 0           281.539           0.492        0.025        0.307        12601079                    81247000                    
GPU 1           70.946            0.000        0.000        0.000        210148                      13625                       
GPU 2           69.842            0.000        0.000        0.000        232171                      51884                       
GPU 3           69.719            0.000        0.000        0.000        210138                      18341                       
GPU 4           71.299            0.000        0.000        0.000        198629                      13102                       
GPU 5           72.284            0.000        0.000        0.000        210137                      18865                       
GPU 6           72.148            0.000        0.000        0.000        255231                      68131                       
GPU 7           71.888            0.000        0.000        0.000        232169                      53456                       
GPU 0           245.204           0.403        0.019        0.251        9240921                     60476315                    
GPU 1           70.944            0.000        0.000        0.000        509371                      304470                      
GPU 2           69.921            0.000        0.000        0.000        465918                      268335                      
GPU 3           69.683            0.000        0.000        0.000        506728                      297120                      
GPU 4           71.283            0.000        0.000        0.000        487925                      294013                      
GPU 5           72.284            0.000        0.000        0.000        504137                      293992                      
GPU 6           72.076            0.000        0.000        0.000        496328                      302933                      
GPU 7           71.885            0.000        0.000        0.000        463812                      261516                      
GPU 0           239.950           0.383        0.019        0.240        8338387                     55144469                    
GPU 1           70.828            0.000        0.000        0.000        515676                      308148                      
GPU 2           69.905            0.000        0.000        0.000        500493                      304488                      
GPU 3           69.716            0.000        0.000        0.000        513035                      306039                      
GPU 4           71.276            0.000        0.000        0.000        505727                      306581                      
GPU 5           72.293            0.000        0.000        0.000        509377                      299232                      
GPU 6           72.118            0.000        0.000        0.000        495798                      298212                      
GPU 7           71.834            0.000        0.000        0.000        489499                      292966                      
GPU 0           245.483           0.380        0.019        0.238        8284840                     54624498                    
GPU 1           70.873            0.000        0.000        0.000        518822                      310769                      
GPU 2           69.898            0.000        0.000        0.000        495790                      300304                      
GPU 3           69.704            0.000        0.000        0.000        509888                      302369                      
GPU 4           71.343            0.000        0.000        0.000        493685                      295582                      
GPU 5           72.293            0.000        0.000        0.000        500984                      292939                      
GPU 6           72.150            0.000        0.000        0.000        494229                      297690                      
GPU 7           71.864            0.000        0.000        0.000        498923                      300297                      
GPU 0           246.390           0.394        0.019        0.246        8616293                     56928746                    
GPU 1           70.901            0.000        0.000        0.000        511473                      305521                      
GPU 2           69.935            0.000        0.000        0.000        525645                      309727                      
GPU 3           69.678            0.000        0.000        0.000        508303                      301314                      
GPU 4           71.285            0.000        0.000        0.000        491025                      296606                      
GPU 5           72.283            0.000        0.000        0.000        505709                      297660                      
GPU 6           72.175            0.000        0.000        0.000        493179                      296641                      
GPU 7           71.876            0.000        0.000        0.000        494219                      297160                      
GPU 0           247.025           0.396        0.019        0.247        8614248                     56653738                    
GPU 1           70.928            0.000        0.000        0.000        511484                      305528                      
GPU 2           69.911            0.000        0.000        0.000        496837                      301351                      
GPU 3           69.807            0.000        0.000        0.000        508831                      301316                      
GPU 4           71.222            0.000        0.000        0.000        495789                      297683                      
GPU 5           72.321            0.000        0.000        0.000        504084                      299201                      
GPU 6           72.151            0.000        0.000        0.000        496838                      299780                      
GPU 7           71.889            0.000        0.000        0.000        502604                      303973                      
GPU 0           246.577           0.397        0.019        0.248        8605627                     57051521                    
GPU 1           70.928            0.000        0.000        0.000        508851                      300804                      
GPU 2           69.861            0.000        0.000        0.000        508345                      315163                      
GPU 3           69.666            0.000        0.000        0.000        510922                      303409                      
GPU 4           71.286            0.000        0.000        0.000        497874                      300296                      
GPU 5           72.306            0.000        0.000        0.000        498371                      290847                      
GPU 6           72.114            0.000        0.000        0.000        354815                      168760                      
GPU 7           71.800            0.000        0.000        0.000        499446                      301869                      
GPU 0           271.410           0.460        0.023        0.285        11988682                    76332806                    
GPU 1           70.890            0.000        0.000        0.000        210149                      13625                       
