#Entity         POWER             SMACT        TENSO        DRAMA        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID               W                                                                                                                                                                       
GPU 0           100.368           0.000        0.000        0.000        5857958                     315015                      0                           0                           
GPU 1           103.032           0.000        0.000        0.000        4193304                     2242637                     0                           0                           
GPU 2           102.106           0.000        0.000        0.000        4130678                     2385269                     0                           0                           
GPU 3           100.857           0.000        0.000        0.000        279374                      5689044                     0                           0                           
GPU 4           100.658           0.000        0.000        0.000        708543                      4063434                     0                           0                           
GPU 5           103.867           0.000        0.000        0.000        4212397                     3471019                     0                           0                           
GPU 6           104.567           0.000        0.000        0.000        2090841                     1666802                     0                           0                           
GPU 7           105.290           0.000        0.000        0.000        2673400                     2167675                     0                           0                           
GPU 0           100.301           0.000        0.000        0.000        519435                      3296310                     0                           0                           
GPU 1           103.140           0.000        0.000        0.000        2774655                     311348                      0                           0                           
GPU 2           102.116           0.000        0.000        0.000        2940058                     393781                      0                           0                           
GPU 3           100.861           0.000        0.000        0.000        4080567                     95920                       0                           0                           
GPU 4           100.496           0.000        0.000        0.000        4226976                     442184                      0                           0                           
GPU 5           103.686           0.000        0.000        0.000        1654717                     1944102                     0                           0                           
GPU 6           104.510           0.000        0.000        0.000        3947327                     3226105                     0                           0                           
GPU 7           105.176           0.000        0.000        0.000        2794037                     2206546                     0                           0                           
GPU 0           100.336           0.000        0.000        0.000        3991842                     161963                      0                           0                           
GPU 1           103.065           0.000        0.000        0.000        515245                      3348310                     0                           0                           
GPU 2           102.114           0.000        0.000        0.000        601483                      2831797                     0                           0                           
GPU 3           100.840           0.000        0.000        0.000        660890                      3392348                     0                           0                           
GPU 4           100.496           0.000        0.000        0.000        2372024                     3488508                     0                           0                           
GPU 5           103.686           0.000        0.000        0.000        1654717                     1276286                     0                           0                           
GPU 6           104.510           0.000        0.000        0.000        472252                      261023                      0                           0                           
GPU 7           105.214           0.000        0.000        0.000        1638081                     1261191                     0                           0                           
GPU 0           100.294           0.000        0.000        0.000        353803                      3408014                     0                           0                           
GPU 1           102.958           0.000        0.000        0.000        4040196                     99063                       0                           0                           
GPU 2           102.075           0.000        0.000        0.000        3454573                     314493                      0                           0                           
GPU 3           100.847           0.000        0.000        0.000        3928299                     407398                      0                           0                           
GPU 4           100.397           0.000        0.000        0.000        2135417                     1863202                     0                           0                           
GPU 5           103.546           0.000        0.000        0.000        4069101                     3319019                     0                           0                           
GPU 6           104.462           0.000        0.000        0.000        4099852                     3388064                     0                           0                           
GPU 7           105.128           0.000        0.000        0.000        4146077                     3376615                     0                           0                           
GPU 0           105.552           0.000        0.000        0.000        3370309                     2779326                     0                           0                           
GPU 1           102.982           0.000        0.012        0.009        287231                      5967944                     0                           0                           
GPU 2           117.419           0.000        0.000        0.000        516292                      3527545                     0                           0                           
GPU 3           100.766           0.000        0.000        0.000        3120178                     3270767                     0                           0                           
GPU 4           105.049           0.000        0.000        0.000        3835242                     1699029                     0                           0                           
GPU 5           105.620           0.006        0.002        0.002        4178501                     257358                      0                           0                           
GPU 6           125.282           0.000        0.000        0.000        264419                      66223                       0                           0                           
GPU 7           112.653           0.000        0.007        0.000        473313                      258409                      433039574                   0                           
#Entity         POWER             SMACT        TENSO        DRAMA        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID               W                                                                                                                                                                       
GPU 0           105.552           0.000        0.037        0.000        1333154843                  2779326                     0                           0                           
GPU 1           168.750           0.030        0.012        0.009        4527587                     5967944                     1453967131                  1454156872                  
GPU 2           117.419           0.000        0.044        0.000        4186928                     3527545                     0                           0                           
GPU 3           185.836           0.000        0.038        0.000        3120178                     2565999                     0                           0                           
GPU 4           105.049           0.000        0.000        0.000        1432935701                  3185814                     0                           1950793805                  
GPU 5           105.620           0.006        0.002        0.002        4178501                     4056374                     309395672                   309394099                   
GPU 6           125.282           0.000        0.000        0.024        15377425                    126755432                   3522367415                  3524226986                  
GPU 7           112.653           0.018        0.007        0.005        260956655                   241544690                   433039574                   433040098                   
GPU 0           220.739           0.107        0.021        0.035        631505493                   1749297703                  2329999592                  2165885480                  
GPU 1           238.756           0.304        0.036        0.137        288704578                   3938398407                  4540832748                  4540651061                  
GPU 2           223.275           0.279        0.022        0.120        253545031                   3144408713                  5498791170                  5498763537                  
GPU 3           212.717           0.172        0.022        0.066        2279215567                  2393909614                  1950498502                  2871471807                  
GPU 4           220.694           0.198        0.040        0.079        648696941                   4334632238                  3117533595                  4215785                     
GPU 5           233.851           0.312        0.042        0.139        289624135                   3521007795                  5154301403                  5154286487                  
GPU 6           235.507           0.294        0.025        0.138        312193099                   3820484544                  3371032589                  3369511376                  
GPU 7           217.077           0.310        0.040        0.138        3699043317                  4284597697                  1266967279                  3695199962                  
GPU 0           239.996           0.293        0.020        0.141        563866288                   7459846139                  2786886590                  4281760                     
GPU 1           227.416           0.292        0.021        0.142        318518071                   1745192570                  2643477055                  2643499984                  
GPU 2           209.910           0.299        0.065        0.147        355900146                   4425202802                  2741587500                  2741620692                  
GPU 3           206.496           0.297        0.038        0.145        3329709402                  3925597971                  4217957                     2748350751                  
GPU 4           206.742           0.297        0.022        0.145        1076950069                  7742075989                  2747409268                  1038163110                  
GPU 5           219.840           0.254        0.021        0.123        299875807                   3698059327                  2312574982                  2312595946                  
GPU 6           219.051           0.259        0.019        0.126        297195698                   3643149643                  2288006566                  2288007614                  
GPU 7           210.678           0.270        0.020        0.132        2868514501                  3826956238                  3468509                     2341847692                  
GPU 0           278.442           0.267        0.096        0.130        4265678404                  6723758463                  2325013894                  3441273                     
GPU 1           288.413           0.286        0.074        0.108        144934178                   1674704618                  10064583784                 10064593741                 
GPU 2           257.402           0.290        0.125        0.115        197596796                   2420919725                  8572171594                  8572171594                  
GPU 3           262.249           0.268        0.102        0.118        2630101748                  3539803518                  618452428                   2445783904                  
GPU 4           252.023           0.273        0.040        0.120        7674575990                  6096731000                  2896022757                  12811977859                 
GPU 5           264.138           0.341        0.102        0.122        128352849                   1522485682                  16035667002                 16035665954                 
GPU 6           282.665           0.328        0.097        0.118        120987970                   1426955574                  14943408922                 14945593285                 
GPU 7           251.306           0.324        0.095        0.114        5098780783                  5026228379                  6744780255                  7643709729                  
GPU 0           281.037           0.325        0.125        0.115        7880969989                  6246056629                  7703667706                  6818636356                  
GPU 1           307.020           0.331        0.122        0.107        82198502                    30696778                    26250366325                 26250366849                 
GPU 2           286.828           0.334        0.129        0.106        92452590                    1895104492                  26250201777                 26250200466                 
GPU 3           272.825           0.331        0.123        0.116        6585684270                  6571588700                  9724142868                  10354831272                 
GPU 4           281.285           0.345        0.129        0.107        7915260390                  8196180995                  12826551070                 13268414799                 
GPU 5           294.141           0.337        0.125        0.108        77643158                    1588819257                  26474656330                 26476831057                 
GPU 6           297.443           0.335        0.124        0.108        80406006                    1632156280                  26300856059                 26298619064                 
GPU 7           280.815           0.339        0.125        0.106        7894896180                  8779537125                  13147064268                 13138980720                 
GPU 0           288.340           0.339        0.129        0.106        7907793917                  8665556021                  13163696625                 13147217989                 
GPU 1           310.562           0.338        0.127        0.109        8645557                     32266783                    26642753637                 26645024596                 
GPU 2           293.183           0.345        0.136        0.109        8542652                     31197428                    26627441075                 26627442504                 
GPU 3           277.972           0.334        0.132        0.105        7943583793                  8360926088                  13208104625                 13251261930                 
GPU 4           291.053           0.337        0.126        0.106        7944786826                  7808368342                  13335449766                 13356900753                 
GPU 5           302.890           0.350        0.132        0.110        8645516                     28759351                    26502735085                 26500561523                 
GPU 6           303.918           0.341        0.128        0.109        8475074                     28600298                    26620038886                 26623084002                 
GPU 7           284.518           0.347        0.132        0.107        7964563576                  7284029698                  13269817512                 13340594792                 
GPU 0           292.981           0.351        0.136        0.105        7772546126                  7277785033                  13140831983                 13058409686                 
GPU 1           312.857           0.347        0.133        0.109        5812051                     28164634                    26937172803                 26934396646                 
GPU 2           298.061           0.355        0.140        0.110        5767335                     30252828                    26792054287                 26795702635                 
GPU 3           281.277           0.351        0.136        0.104        7796301605                  7130142774                  12982229995                 13038521297                 
GPU 4           288.511           0.345        0.135        0.103        7651510868                  7176162484                  12951642040                 12851000707                 
GPU 5           300.043           0.348        0.135        0.107        6915893                     28816660                    26134718696                 26141585125                 
GPU 6           304.506           0.345        0.133        0.107        6192351                     31447624                    26360482455                 26360347700                 
GPU 7           286.968           0.345        0.132        0.105        7922537686                  7247511122                  13171932708                 13260172742                 
GPU 0           301.283           0.360        0.147        0.104        7525694889                  7034546260                  12731425082                 12650490407                 
GPU 1           325.717           0.348        0.136        0.105        8204487                     21446016                    25455766830                 25462898523                 
GPU 2           309.390           0.356        0.152        0.105        7831162                     27641771                    25564992731                 25567336001                 
GPU 3           287.770           0.358        0.145        0.104        7581767835                  6954901878                  12638314699                 12722262175                 
GPU 4           308.395           0.364        0.150        0.104        7473954062                  6980407583                  12638834259                 12568772918                 
GPU 5           319.188           0.371        0.153        0.107        4360901                     24586151                    25238099824                 25227112136                 
GPU 6           313.783           0.363        0.146        0.106        6904696                     24275906                    25176694915                 25183225787                 
GPU 7           289.624           0.352        0.140        0.104        7701941599                  7016393226                  12776492338                 12868731619                 
GPU 0           326.763           0.376        0.162        0.105        7365537023                  6835745747                  12409087732                 12382966688                 
GPU 1           334.849           0.365        0.152        0.106        3625173                     27635950                    25037765691                 25031987006                 
GPU 2           316.411           0.369        0.166        0.106        4318323                     24225904                    25153783183                 25147789733                 
GPU 3           304.191           0.380        0.163        0.106        7391575035                  6806951747                  12396254093                 12409563023                 
GPU 4           316.546           0.388        0.168        0.107        7397445637                  6845924377                  12444380151                 12436381341                 
GPU 5           326.967           0.389        0.169        0.109        7558720                     26309818                    24912866460                 24912868556                 
GPU 6           333.538           0.381        0.163        0.107        5832814                     24767187                    24959224417                 24951330608                 
GPU 7           308.802           0.370        0.155        0.104        7489313452                  6876547587                  12498620427                 12565085372                 
GPU 0           326.763           0.382        0.165        0.107        7485614941                  7249162173                  12581373162                 12553004593                 
GPU 1           332.985           0.384        0.167        0.108        7992046                     27635950                    24923642747                 24922288989                 
GPU 2           320.128           0.384        0.158        0.108        8054861                     28249138                    24985613298                 24986770431                 
GPU 3           302.253           0.376        0.161        0.106        7563403982                  7254955067                  12607702796                 12656003381                 
GPU 4           317.043           0.380        0.162        0.107        7528088101                  7367875154                  12673513483                 12619728479                 
GPU 5           327.811           0.383        0.163        0.110        26113207                    406780922                   25299602201                 25299599580                 
GPU 6           328.753           0.390        0.173        0.110        28206431                    407158615                   25037764791                 25037765374                 
GPU 7           315.061           0.389        0.171        0.107        7347645657                  6759315868                  12314551542                 12322771635                 
GPU 0           262.347           0.341        0.120        0.114        4900396868                  6344320765                  8264879410                  7991247703                  
GPU 1           293.558           0.370        0.150        0.112        73049639                    2760935700                  23783368390                 23783369197                 
GPU 2           281.416           0.381        0.103        0.111        36507984                    580335308                   25054902013                 25054707652                 
GPU 3           261.323           0.333        0.115        0.114        4801551064                  5849488677                  7284867428                  7588966611                  
GPU 4           277.140           0.332        0.113        0.117        4079237458                  6954132802                  6752888482                  6411390037                  
GPU 5           288.890           0.329        0.111        0.117        169933074                   2095624798                  13039921007                 13039921007                 
GPU 6           293.112           0.351        0.129        0.114        88133984                    1239035539                  19858426453                 19858426453                 
GPU 7           292.834           0.362        0.140        0.111        6531140375                  6929826647                  10628625864                 10770404794                 
GPU 0           262.347           0.305        0.120        0.121        4900396868                  5133582370                  8264879410                  7991247703                  
GPU 1           293.558           0.370        0.091        0.121        73049639                    2760935700                  23783368390                 23783369197                 
GPU 2           266.149           0.381        0.103        0.111        36507984                    3227322773                  25054902013                 25054707652                 
GPU 3           261.323           0.333        0.115        0.114        2473946008                  5849488677                  7284867428                  7588966611                  
GPU 4           277.140           0.332        0.113        0.117        4079237458                  6954132802                  6752888482                  6411390037                  
GPU 5           288.890           0.329        0.111        0.117        169933074                   2095624798                  13039921007                 13039921007                 
GPU 6           293.112           0.302        0.129        0.114        88133984                    1239035539                  19858426453                 19858426453                 
GPU 7           254.954           0.362        0.140        0.111        6531140375                  6929826647                  2899727522                  10770404794                 
GPU 0           262.820           0.314        0.092        0.125        1986126675                  4711261954                  3316682011                  2857525788                  
GPU 1           284.833           0.309        0.094        0.125        247718975                   2692118835                  6161203252                  6160278810                  
GPU 2           269.166           0.309        0.093        0.123        288040260                   3280996752                  6143318705                  6143320016                  
GPU 3           247.643           0.313        0.091        0.126        2481603977                  4387725088                  2849971380                  3338342686                  
GPU 4           265.116           0.312        0.096        0.123        2128910402                  6302100018                  3338530824                  2877020122                  
GPU 5           278.822           0.312        0.096        0.125        265068443                   2982146829                  6190011925                  6190395075                  
GPU 6           282.956           0.314        0.096        0.120        260385108                   3014245132                  6206187945                  6206187421                  
GPU 7           260.959           0.312        0.096        0.124        2566747843                  4469004635                  2868701788                  3319527545                  
GPU 0           267.440           0.317        0.097        0.127        2024015173                  5183361992                  3299367491                  2855395449                  
GPU 1           287.479           0.309        0.094        0.125        252521379                   2793819461                  6184500158                  6184499109                  
GPU 2           269.640           0.318        0.097        0.127        294828761                   3305923908                  6185366698                  6185365650                  
GPU 3           255.030           0.314        0.096        0.126        2456232220                  4518575401                  2853470678                  3305204901                  
