#Entity         POWER             SMACT        TENSO        DRAMA        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID               W                                                                                                                                                                       
GPU 0           98.958            0.000        0.000        0.000        7205215                     6018720                     0                           0                           
GPU 1           100.798           0.000        0.000        0.000        5352953                     4466094                     0                           0                           
GPU 2           100.460           0.000        0.000        0.000        8681389                     1146372                     0                           0                           
GPU 3           99.433            0.000        0.000        0.000        4194205                     3451667                     0                           0                           
GPU 4           98.694            0.000        0.000        0.000        2645185                     6385491                     0                           0                           
GPU 5           101.692           0.000        0.000        0.000        3139304                     6322442                     0                           0                           
GPU 6           102.581           0.000        0.000        0.000        3595122                     3339962                     0                           0                           
GPU 7           103.743           0.000        0.000        0.000        4837915                     4040802                     0                           0                           
GPU 0           98.874            0.000        0.000        0.000        525184                      327060                      0                           0                           
GPU 1           100.647           0.000        0.000        0.000        623082                      429802                      0                           0                           
GPU 2           100.422           0.000        0.000        0.000        284616                      7347404                     0                           0                           
GPU 3           99.482            0.000        0.000        0.000        4586775                     3898202                     0                           0                           
GPU 4           98.682            0.000        0.000        0.000        7487301                     819599                      0                           0                           
GPU 5           101.639           0.000        0.000        0.000        7457159                     280431                      0                           0                           
GPU 6           102.530           0.000        0.000        0.000        3972429                     3173783                     0                           0                           
GPU 7           103.775           0.000        0.000        0.000        1569363                     1245951                     0                           0                           
GPU 0           98.862            0.000        0.000        0.000        4206798                     3529601                     0                           0                           
GPU 1           100.628           0.000        0.000        0.000        4127237                     3455264                     0                           0                           
GPU 2           100.351           0.000        0.000        0.000        4176480                     102210                      0                           0                           
GPU 3           99.338            0.000        0.000        0.000        2271111                     1815631                     0                           0                           
GPU 4           98.673            0.000        0.000        0.000        1127425                     2883480                     0                           0                           
GPU 5           101.669           0.000        0.000        0.000        476994                      3448263                     0                           0                           
GPU 6           102.539           0.000        0.000        0.000        3816927                     268366                      0                           0                           
GPU 7           103.760           0.000        0.000        0.000        4049042                     3399098                     0                           0                           
GPU 0           98.829            0.000        0.000        0.000        2983954                     2414257                     0                           0                           
GPU 1           100.602           0.000        0.000        0.000        681859                      449476                      0                           0                           
GPU 2           100.389           0.000        0.000        0.000        3429405                     2805660                     0                           0                           
GPU 3           99.272            0.000        0.000        0.000        2121165                     1716535                     0                           0                           
GPU 4           98.646            0.000        0.000        0.000        3452488                     3297978                     0                           0                           
GPU 5           101.608           0.000        0.000        0.000        3280780                     2638338                     0                           0                           
GPU 6           102.596           0.000        0.000        0.000        471213                      3452579                     0                           0                           
GPU 7           103.696           0.000        0.000        0.000        2123413                     1639946                     0                           0                           
GPU 0           98.896            0.000        0.000        0.000        524673                      315013                      0                           0                           
GPU 1           100.579           0.000        0.000        0.000        4426487                     3709050                     0                           0                           
GPU 2           100.326           0.000        0.000        0.000        513149                      307156                      0                           0                           
GPU 3           99.336            0.000        0.000        0.000        3965575                     3288922                     0                           0                           
GPU 4           98.626            0.000        0.000        0.000        505288                      298246                      0                           0                           
GPU 5           101.599           0.000        0.000        0.000        654685                      425624                      0                           0                           
GPU 6           102.583           0.000        0.000        0.000        4166472                     431236                      0                           0                           
GPU 7           103.762           0.000        0.000        0.000        2672631                     2139284                     0                           0                           
#Entity         POWER             SMACT        TENSO        DRAMA        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID               W                                                                                                                                                                       
GPU 0           98.833            0.000        0.000        0.000        4052211                     3338841                     0                           0                           
GPU 1           100.591           0.000        0.000        0.000        3192482                     344191                      0                           0                           
GPU 2           100.297           0.000        0.000        0.000        3959637                     3272531                     0                           0                           
GPU 3           99.369            0.000        0.000        0.000        285652                      94868                       0                           0                           
GPU 4           98.690            0.000        0.000        0.000        4232842                     3474956                     0                           0                           
GPU 5           101.644           0.000        0.000        0.000        4058624                     3312306                     0                           0                           
GPU 6           102.558           0.000        0.000        0.000        694743                      3283532                     0                           0                           
GPU 7           103.727           0.000        0.000        0.000        2728122                     2166394                     0                           0                           
GPU 0           98.833            0.090        0.025        0.032        1503529428                  1862695330                  0                           0                           
GPU 1           139.074           0.000        0.000        0.000        547444                      344191                      0                           0                           
GPU 2           131.062           0.078        0.000        0.026        1403227112                  1650670376                  0                           0                           
GPU 3           99.369            0.000        0.030        0.000        4048525                     3365035                     0                           0                           
GPU 4           135.025           0.000        0.000        0.033        4232842                     1928545577                  0                           0                           
GPU 5           136.882           0.085        0.024        0.030        1455138892                  1722665906                  0                           0                           
GPU 6           135.168           0.000        0.000        0.000        3960855                     3283532                     0                           0                           
GPU 7           123.526           0.039        0.016        0.011        851257123                   786729271                   0                           0                           
GPU 0           170.954           0.155        0.042        0.053        9319911387                  8917975554                  0                           0                           
GPU 1           172.921           0.162        0.043        0.057        7263212510                  7261903084                  0                           0                           
GPU 2           168.516           0.160        0.041        0.057        8929248319                  8650829679                  0                           0                           
GPU 3           166.253           0.134        0.048        0.051        3595740420                  3993442912                  0                           0                           
GPU 4           167.421           0.153        0.041        0.053        9222784138                  8883598715                  0                           0                           
GPU 5           170.816           0.158        0.042        0.055        9140838332                  8829055615                  0                           0                           
GPU 6           172.015           0.151        0.039        0.054        6273041067                  10503271363                 0                           0                           
GPU 7           172.369           0.171        0.043        0.061        8485540535                  8430113512                  0                           0                           
GPU 0           167.033           0.140        0.051        0.042        11374067090                 10493373971                 0                           0                           
GPU 1           174.629           0.138        0.050        0.046        12504970293                 11535740225                 0                           0                           
GPU 2           169.079           0.143        0.052        0.043        11356488634                 10474283534                 0                           0                           
GPU 3           167.881           0.138        0.050        0.043        11335626841                 10443833093                 0                           0                           
GPU 4           172.149           0.142        0.052        0.043        11367864709                 10490419575                 0                           0                           
GPU 5           173.467           0.139        0.050        0.042        11386434184                 10503313288                 0                           0                           
GPU 6           176.557           0.143        0.050        0.043        11379678206                 11435479819                 0                           0                           
GPU 7           172.000           0.140        0.051        0.042        11379960583                 10497646034                 0                           0                           
GPU 0           168.127           0.140        0.050        0.042        11335097370                 11965158969                 0                           0                           
GPU 1           174.464           0.141        0.050        0.043        11316753055                 11952119104                 0                           0                           
GPU 2           170.920           0.141        0.050        0.042        11329372911                 11871625510                 0                           0                           
GPU 3           166.901           0.139        0.050        0.042        11333864930                 11873337815                 0                           0                           
GPU 4           170.091           0.140        0.050        0.042        11343522769                 12105040286                 0                           0                           
GPU 5           171.884           0.141        0.050        0.042        11335655247                 12103202404                 0                           0                           
GPU 6           171.574           0.141        0.050        0.042        11331593951                 11519293404                 0                           0                           
GPU 7           172.373           0.143        0.051        0.043        11312331931                 11969520231                 0                           0                           
GPU 0           169.836           0.143        0.051        0.043        11373924089                 10490998371                 0                           0                           
GPU 1           174.451           0.139        0.049        0.042        11393211850                 10512190987                 0                           0                           
GPU 2           170.069           0.150        0.052        0.044        11291445144                 10412607531                 0                           0                           
GPU 3           168.112           0.141        0.050        0.043        11393760277                 10517192723                 0                           0                           
GPU 4           172.624           0.146        0.052        0.044        11311737360                 10435674351                 0                           0                           
GPU 5           174.445           0.143        0.051        0.043        11380270465                 10501505961                 0                           0                           
GPU 6           175.299           0.137        0.050        0.042        11370154565                 10493212560                 0                           0                           
GPU 7           171.361           0.139        0.049        0.042        11399819129                 10521472710                 0                           0                           
GPU 0           171.698           0.144        0.051        0.043        11289656141                 10413891301                 0                           0                           
GPU 1           176.189           0.143        0.051        0.043        11284695780                 10409599178                 0                           0                           
GPU 2           166.367           0.143        0.052        0.043        11369202874                 10485831276                 0                           0                           
GPU 3           165.832           0.145        0.051        0.044        11265465750                 10390420242                 0                           0                           
GPU 4           169.367           0.140        0.050        0.042        11332061915                 10453491118                 0                           0                           
GPU 5           173.188           0.142        0.051        0.043        11323224904                 10448043393                 0                           0                           
GPU 6           174.160           0.143        0.050        0.043        11292260682                 10413836643                 0                           0                           
GPU 7           176.909           0.147        0.052        0.044        11285552103                 10405863983                 0                           0                           
GPU 0           173.569           0.143        0.053        0.042        11287231774                 10408864811                 0                           0                           
GPU 1           178.335           0.142        0.052        0.043        11280621695                 10399632753                 0                           0                           
GPU 2           172.172           0.140        0.051        0.042        11308292467                 10433623162                 0                           0                           
GPU 3           169.628           0.142        0.052        0.042        11298325290                 10412064462                 0                           0                           
GPU 4           171.680           0.142        0.053        0.042        11291945103                 10415126601                 0                           0                           
GPU 5           178.506           0.152        0.056        0.044        11227325349                 10349951235                 0                           0                           
GPU 6           176.913           0.143        0.053        0.042        11277237942                 10398435822                 0                           0                           
GPU 7           176.964           0.147        0.054        0.043        11272746130                 10392459204                 0                           0                           
GPU 0           173.405           0.144        0.052        0.043        11298743074                 10418863886                 0                           0                           
GPU 1           174.609           0.139        0.050        0.042        11310383041                 10435388923                 0                           0                           
GPU 2           171.424           0.146        0.054        0.043        11285846646                 10405637758                 0                           0                           
GPU 3           169.628           0.141        0.051        0.043        11313839951                 10436088136                 0                           0                           
GPU 4           170.537           0.143        0.052        0.043        11279488294                 10407057612                 0                           0                           
GPU 5           174.504           0.143        0.052        0.043        11307180587                 10435367803                 0                           0                           
GPU 6           174.376           0.140        0.051        0.043        11309581918                 10398435822                 0                           0                           
GPU 7           175.911           0.142        0.051        0.043        11312152462                 10435183859                 0                           0                           
GPU 0           172.814           0.141        0.052        0.041        11175016437                 10313883141                 0                           0                           
GPU 1           174.275           0.140        0.052        0.041        11202297797                 10333066835                 0                           0                           
GPU 2           170.287           0.146        0.055        0.041        11138394829                 10275204752                 0                           0                           
GPU 3           168.389           0.145        0.054        0.042        11142925081                 10280545682                 0                           0                           
GPU 4           170.249           0.144        0.051        0.044        11352469395                 10483894190                 0                           0                           
GPU 5           176.121           0.142        0.052        0.041        11190429325                 10326930912                 0                           0                           
GPU 6           173.775           0.142        0.052        0.042        11174230168                 10310926056                 0                           0                           
GPU 7           171.109           0.139        0.051        0.041        11172308460                 10308046203                 0                           0                           
GPU 0           172.350           0.141        0.052        0.041        11175016437                 10313883141                 0                           0                           
GPU 1           174.275           0.140        0.052        0.041        11202297797                 10230498545                 0                           0                           
GPU 2           170.287           0.146        0.055        0.041        11138394829                 10275204752                 0                           0                           
GPU 3           168.389           0.145        0.054        0.042        11142925081                 10280545682                 0                           0                           
GPU 4           170.249           0.144        0.051        0.044        11096321726                 10483894190                 0                           0                           
GPU 5           176.121           0.142        0.052        0.041        11190429325                 10326930912                 0                           0                           
GPU 6           173.775           0.142        0.052        0.042        11174230168                 10310926056                 0                           0                           
GPU 7           171.109           0.139        0.051        0.041        11172308460                 10308046203                 0                           0                           
GPU 0           177.604           0.148        0.057        0.043        11112254564                 10250510389                 0                           0                           
